"GEO_ID","NAME","B25044_001E","B25044_001M","B25044_002E","B25044_002M","B25044_003E","B25044_003M","B25044_004E","B25044_004M","B25044_005E","B25044_005M","B25044_006E","B25044_006M","B25044_007E","B25044_007M","B25044_008E","B25044_008M","B25044_009E","B25044_009M","B25044_010E","B25044_010M","B25044_011E","B25044_011M","B25044_012E","B25044_012M","B25044_013E","B25044_013M","B25044_014E","B25044_014M","B25044_015E","B25044_015M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied:","Margin of Error!!Total:!!Owner occupied:","Estimate!!Total:!!Owner occupied:!!No vehicle available","Margin of Error!!Total:!!Owner occupied:!!No vehicle available","Estimate!!Total:!!Owner occupied:!!1 vehicle available","Margin of Error!!Total:!!Owner occupied:!!1 vehicle available","Estimate!!Total:!!Owner occupied:!!2 vehicles available","Margin of Error!!Total:!!Owner occupied:!!2 vehicles available","Estimate!!Total:!!Owner occupied:!!3 vehicles available","Margin of Error!!Total:!!Owner occupied:!!3 vehicles available","Estimate!!Total:!!Owner occupied:!!4 vehicles available","Margin of Error!!Total:!!Owner occupied:!!4 vehicles available","Estimate!!Total:!!Owner occupied:!!5 or more vehicles available","Margin of Error!!Total:!!Owner occupied:!!5 or more vehicles available","Estimate!!Total:!!Renter occupied:","Margin of Error!!Total:!!Renter occupied:","Estimate!!Total:!!Renter occupied:!!No vehicle available","Margin of Error!!Total:!!Renter occupied:!!No vehicle available","Estimate!!Total:!!Renter occupied:!!1 vehicle available","Margin of Error!!Total:!!Renter occupied:!!1 vehicle available","Estimate!!Total:!!Renter occupied:!!2 vehicles available","Margin of Error!!Total:!!Renter occupied:!!2 vehicles available","Estimate!!Total:!!Renter occupied:!!3 vehicles available","Margin of Error!!Total:!!Renter occupied:!!3 vehicles available","Estimate!!Total:!!Renter occupied:!!4 vehicles available","Margin of Error!!Total:!!Renter occupied:!!4 vehicles available","Estimate!!Total:!!Renter occupied:!!5 or more vehicles available","Margin of Error!!Total:!!Renter occupied:!!5 or more vehicles available",
"1400000US37001020801","Census Tract 208.01; Alamance County; North Carolina","750","125","498","115","12","17","132","44","207","104","86","61","61","37","0","14","252","65","8","14","100","47","68","47","4","8","72","36","0","14",
"1400000US37001020802","Census Tract 208.02; Alamance County; North Carolina","2277","330","1052","276","62","69","171","119","447","222","201","113","79","81","92","86","1225","300","163","120","785","235","231","143","17","30","29","46","0","19",
"1400000US37001020901","Census Tract 209.01; Alamance County; North Carolina","1722","243","1071","257","137","193","254","110","375","145","200","101","105","56","0","14","651","156","0","14","295","104","219","115","80","71","0","14","57","41",
"1400000US37001020902","Census Tract 209.02; Alamance County; North Carolina","1742","170","1481","197","0","14","381","132","569","136","368","131","87","73","76","63","261","113","15","13","118","73","60","57","68","54","0","14","0","14",
"1400000US37001021000","Census Tract 210; Alamance County; North Carolina","1922","223","628","151","3","5","174","92","266","120","135","71","50","34","0","14","1294","245","172","131","732","237","318","137","40","35","20","39","12","19",
"1400000US37001021101","Census Tract 211.01; Alamance County; North Carolina","2036","210","949","181","28","27","299","137","339","132","199","72","84","73","0","14","1087","221","15","23","799","211","218","131","55","85","0","14","0","14",
"1400000US37001021102","Census Tract 211.02; Alamance County; North Carolina","1357","191","871","203","9","15","268","117","316","144","189","69","52","54","37","43","486","135","54","46","257","114","169","113","6","10","0","14","0","14",
"1400000US37001021201","Census Tract 212.01; Alamance County; North Carolina","2224","233","1560","211","69","46","460","146","528","159","264","98","165","73","74","51","664","144","0","19","252","115","259","97","129","65","24","27","0","19",
"1400000US37001021204","Census Tract 212.04; Alamance County; North Carolina","1987","176","1722","183","18","25","440","133","663","168","344","90","188","111","69","52","265","111","10","16","44","61","114","70","83","59","14","22","0","19",
"1400000US37001021205","Census Tract 212.05; Alamance County; North Carolina","3401","313","1753","292","0","19","469","175","410","150","733","251","126","90","15","25","1648","353","53","58","1018","256","436","266","141","132","0","19","0","19",
"1400000US37001021206","Census Tract 212.06; Alamance County; North Carolina","2186","248","1163","185","0","19","149","85","641","180","242","114","116","72","15","25","1023","251","66","59","533","268","356","151","39","38","0","19","29","41",
"1400000US37001021207","Census Tract 212.07; Alamance County; North Carolina","1611","214","1118","205","23","25","258","100","527","165","219","92","62","43","29","26","493","181","76","56","185","127","162","101","53","52","17","27","0","14",
"1400000US37001021300","Census Tract 213; Alamance County; North Carolina","2362","143","1995","150","51","17","313","96","781","113","506","102","210","43","134","81","367","75","31","19","143","59","115","34","60","23","6","8","12","9",
"1400000US37001021400","Census Tract 214; Alamance County; North Carolina","1070","218","852","224","32","28","91","50","346","224","239","91","123","66","21","29","218","93","34","52","22","22","155","81","0","14","7","12","0","14",
"1400000US37001021500","Census Tract 215; Alamance County; North Carolina","1564","165","1456","167","12","21","179","66","584","142","248","81","247","126","186","92","108","65","0","14","39","33","18","25","7","14","44","57","0","14",
"1400000US37001021600","Census Tract 216; Alamance County; North Carolina","2363","291","1764","287","45","67","314","175","820","214","406","169","134","88","45","47","599","232","93","77","370","186","59","48","19","27","58","72","0","19",
"1400000US37001021701","Census Tract 217.01; Alamance County; North Carolina","1533","235","1148","203","18","21","230","122","539","148","237","100","85","45","39","34","385","94","41","28","231","75","104","60","9","14","0","14","0","14",
"1400000US37001021702","Census Tract 217.02; Alamance County; North Carolina","1902","223","1412","209","13","20","175","75","618","130","317","89","260","225","29","32","490","133","0","19","80","72","122","74","270","122","3","11","15","24",
"1400000US37001021703","Census Tract 217.03; Alamance County; North Carolina","3543","340","1666","302","0","19","356","151","782","267","423","153","69","70","36","42","1877","295","112","109","1101","296","595","230","69","55","0","19","0","19",
"1400000US37001021801","Census Tract 218.01; Alamance County; North Carolina","1818","203","1610","193","14","16","182","81","510","122","569","190","244","106","91","46","208","70","13","18","86","40","60","41","37","27","12","18","0","14",
"1400000US37001021802","Census Tract 218.02; Alamance County; North Carolina","1427","188","1212","180","8","12","217","83","285","90","376","180","152","76","174","91","215","123","25","40","0","14","27","31","144","115","19","29","0","14",
"1400000US37001021803","Census Tract 218.03; Alamance County; North Carolina","1089","153","845","150","76","63","84","47","311","118","236","91","119","69","19","23","244","109","0","14","32","35","153","86","16","23","43","66","0","14",
"1400000US37001021901","Census Tract 219.01; Alamance County; North Carolina","1962","233","1683","198","33","42","237","127","728","159","450","161","79","45","156","92","279","169","18","28","178","146","71","54","12","18","0","14","0","14",
"1400000US37001021902","Census Tract 219.02; Alamance County; North Carolina","1719","217","1340","197","41","33","266","111","652","174","280","89","78","45","23","21","379","174","10","17","127","83","180","126","0","14","62","81","0","14",
"1400000US37001022001","Census Tract 220.01; Alamance County; North Carolina","1439","189","1258","185","1","4","180","64","499","113","358","92","185","176","35","31","181","74","13","19","90","51","46","40","25","26","7","10","0","14",
"1400000US37001022002","Census Tract 220.02; Alamance County; North Carolina","1698","156","1388","172","17","18","312","134","539","126","313","111","152","75","55","28","310","113","0","14","89","73","78","54","126","112","0","14","17","24",
"1400000US37003040100","Census Tract 401; Alexander County; North Carolina","1290","193","1129","204","47","46","141","69","346","111","307","160","160","60","128","81","161","101","0","14","106","80","51","47","0","14","4","8","0","14",
"1400000US37003040200","Census Tract 402; Alexander County; North Carolina","1665","231","1453","219","38","45","171","89","497","146","430","152","229","162","88","65","212","108","0","14","145","91","56","44","11","20","0","14","0","14",
"1400000US37003040300","Census Tract 403; Alexander County; North Carolina","1366","145","947","168","30","35","167","101","288","107","300","95","119","56","43","38","419","164","63","69","106","77","231","147","13","18","6","11","0","14",
"1400000US37003040400","Census Tract 404; Alexander County; North Carolina","2622","237","1945","247","72","37","342","121","675","246","420","133","369","166","67","45","677","170","29","21","298","87","225","121","114","95","0","19","11","17",
"1400000US37003040500","Census Tract 405; Alexander County; North Carolina","2601","235","2156","282","0","19","194","96","1131","276","588","245","137","116","106","90","445","188","18","24","107","90","244","158","38","52","22","57","16","27",
"1400000US37003040600","Census Tract 406; Alexander County; North Carolina","1680","227","1396","206","8","13","190","104","509","185","433","159","158","95","98","78","284","150","0","19","96","74","47","72","91","76","50","50","0","19",
"1400000US37003040700","Census Tract 407; Alexander County; North Carolina","2671","254","2322","230","39","49","412","133","932","216","696","173","184","105","59","51","349","148","14","22","113","97","154","80","68","85","0","19","0","19",
"1400000US37005950100","Census Tract 9501; Alleghany County; North Carolina","1857","215","1491","184","62","65","198","90","673","177","331","107","157","88","70","46","366","133","37","44","152","90","128","57","0","14","49","73","0","14",
"1400000US37005950200","Census Tract 9502; Alleghany County; North Carolina","1831","181","1292","155","108","88","388","138","333","98","303","100","89","58","71","57","539","147","82","58","212","67","119","55","25","21","101","105","0","14",
"1400000US37005950300","Census Tract 9503; Alleghany County; North Carolina","1361","212","1108","189","33","29","285","117","364","122","203","98","128","76","95","66","253","109","0","14","200","114","26","26","27","24","0","14","0","14",
"1400000US37007920100","Census Tract 9201; Anson County; North Carolina","1256","180","830","169","61","69","141","67","204","79","135","74","173","87","116","77","426","168","0","14","96","62","191","127","80","76","59","77","0","14",
"1400000US37007920200","Census Tract 9202; Anson County; North Carolina","653","140","523","130","10","11","72","33","128","43","220","119","82","48","11","17","130","53","28","22","69","45","33","27","0","14","0","14","0","14",
"1400000US37007920301","Census Tract 9203.01; Anson County; North Carolina","1775","218","1187","187","11","13","318","124","315","125","332","123","165","85","46","37","588","157","55","68","198","83","110","60","66","50","100","77","59","61",
"1400000US37007920302","Census Tract 9203.02; Anson County; North Carolina","229","77","167","64","0","14","24","29","48","42","79","45","11","17","5","9","62","60","3","7","53","60","6","10","0","14","0","14","0","14",
"1400000US37007920400","Census Tract 9204; Anson County; North Carolina","984","141","551","125","40","46","211","102","207","90","73","54","20","20","0","14","433","147","100","70","122","82","90","65","25","24","0","14","96","97",
"1400000US37007920501","Census Tract 9205.01; Anson County; North Carolina","428","105","230","79","0","14","35","45","131","81","47","37","11","17","6","12","198","125","34","49","125","141","37","42","0","14","2","13","0","14",
"1400000US37007920502","Census Tract 9205.02; Anson County; North Carolina","1522","225","941","168","34","39","354","153","213","98","129","80","199","106","12","20","581","192","109","99","268","134","148","85","56","41","0","14","0","14",
"1400000US37007920600","Census Tract 9206; Anson County; North Carolina","1467","202","1026","181","58","49","197","90","454","155","134","78","146","82","37","24","441","146","172","100","69","58","167","103","21","24","12","23","0","14",
"1400000US37007980000","Census Tract 9800; Anson County; North Carolina","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US37009970200","Census Tract 9702; Ashe County; North Carolina","1111","206","935","196","46","33","163","104","416","140","273","79","20","23","17","20","176","79","10","15","61","38","39","34","59","62","7","12","0","14",
"1400000US37009970300","Census Tract 9703; Ashe County; North Carolina","1093","198","794","146","68","41","152","67","244","89","232","129","76","54","22","19","299","148","0","14","219","137","80","69","0","14","0","14","0","14",
"1400000US37009970400","Census Tract 9704; Ashe County; North Carolina","2236","247","1710","290","34","41","556","217","634","217","292","119","160","119","34","45","526","165","107","64","267","118","64","48","80","62","8","14","0","14",
"1400000US37009970501","Census Tract 9705.01; Ashe County; North Carolina","1244","182","862","160","0","14","139","77","268","98","226","82","161","75","68","51","382","134","58","67","172","78","113","96","39","48","0","14","0","14",
"1400000US37009970502","Census Tract 9705.02; Ashe County; North Carolina","1235","196","843","166","27","33","119","49","468","160","149","76","57","46","23","21","392","145","152","109","92","55","113","78","35","42","0","14","0","14",
"1400000US37009970701","Census Tract 9707.01; Ashe County; North Carolina","1952","299","1693","306","0","14","645","223","745","220","239","132","25","31","39","41","259","89","0","14","102","64","112","67","19","23","0","14","26","37",
"1400000US37009970702","Census Tract 9707.02; Ashe County; North Carolina","990","180","934","179","0","14","192","104","482","161","166","94","76","77","18","29","56","50","0","14","0","14","26","34","10","21","0","14","20","31",
"1400000US37009970801","Census Tract 9708.01; Ashe County; North Carolina","1009","192","748","179","17","20","125","67","386","137","90","47","89","85","41","48","261","133","36","22","62","72","163","122","0","14","0","14","0","14",
"1400000US37009970802","Census Tract 9708.02; Ashe County; North Carolina","1129","163","886","122","14","21","117","86","370","141","185","131","144","82","56","55","243","129","30","46","160","114","42","46","5","12","6","11","0","14",
"1400000US37011930100","Census Tract 9301; Avery County; North Carolina","1176","165","870","150","21","22","213","72","399","126","81","43","57","43","99","83","306","86","24","28","137","61","80","43","51","46","6","11","8","12",
"1400000US37011930200","Census Tract 9302; Avery County; North Carolina","1380","199","1111","189","34","36","331","104","456","139","233","107","29","18","28","28","269","104","0","14","125","93","144","60","0","14","0","14","0","14",
"1400000US37011930301","Census Tract 9303.01; Avery County; North Carolina","1609","203","1254","211","0","14","460","143","532","166","205","95","22","19","35","32","355","97","95","53","176","81","74","55","10","15","0","14","0","14",
"1400000US37011930302","Census Tract 9303.02; Avery County; North Carolina","1116","147","820","164","57","43","216","110","257","87","172","62","66","50","52","49","296","122","62","57","87","72","112","56","32","47","3","5","0","14",
"1400000US37011930400","Census Tract 9304; Avery County; North Carolina","1278","171","1190","170","19","21","214","99","458","138","256","126","157","104","86","73","88","65","0","19","39","43","14","22","35","51","0","19","0","19",
"1400000US37013930101","Census Tract 9301.01; Beaufort County; North Carolina","1039","177","917","158","31","35","216","81","283","117","225","126","125","55","37","39","122","94","8","18","61","68","53","73","0","14","0","14","0","14",
"1400000US37013930102","Census Tract 9301.02; Beaufort County; North Carolina","731","113","493","103","8","8","149","77","181","56","76","44","71","68","8","10","238","75","63","48","99","38","52","40","0","14","20","21","4","6",
"1400000US37013930200","Census Tract 9302; Beaufort County; North Carolina","2131","274","1286","278","12","19","243","101","521","200","268","175","172","125","70","47","845","247","24","26","302","151","274","169","142","166","54","80","49","75",
"1400000US37013930300","Census Tract 9303; Beaufort County; North Carolina","2077","286","859","204","36","40","339","123","346","143","124","62","14","16","0","14","1218","206","266","121","646","169","255","148","51","42","0","14","0","14",
"1400000US37013930400","Census Tract 9304; Beaufort County; North Carolina","2408","279","1232","251","44","51","316","146","681","249","127","81","64","70","0","19","1176","247","339","146","518","190","215","183","81","78","23","36","0","19",
"1400000US37013930501","Census Tract 9305.01; Beaufort County; North Carolina","1868","253","1333","204","32","25","260","85","604","183","348","147","49","31","40","42","535","224","28","43","282","176","166","99","41","40","18","27","0","14",
"1400000US37013930502","Census Tract 9305.02; Beaufort County; North Carolina","1453","182","1191","195","40","50","159","84","535","147","295","117","131","71","31","33","262","105","0","14","129","88","89","59","31","40","13","24","0","14",
"1400000US37013930600","Census Tract 9306; Beaufort County; North Carolina","1235","116","1084","122","0","14","230","73","412","126","317","105","59","27","66","69","151","79","26","40","40","56","54","48","23","30","8","13","0","14",
"1400000US37013930700","Census Tract 9307; Beaufort County; North Carolina","1156","158","964","163","5","9","135","63","423","128","273","115","61","47","67","60","192","90","6","10","92","58","83","60","1","3","10","15","0","14",
"1400000US37013930800","Census Tract 9308; Beaufort County; North Carolina","867","128","708","121","36","26","150","75","276","98","161","71","51","43","34","45","159","70","38","34","37","22","51","37","33","41","0","14","0","14",
"1400000US37013930900","Census Tract 9309; Beaufort County; North Carolina","1726","206","1636","209","39","28","340","130","647","142","406","115","176","81","28","33","90","58","20","24","21","24","28","29","21","35","0","14","0","14",
"1400000US37013931001","Census Tract 9310.01; Beaufort County; North Carolina","1135","158","843","150","0","14","163","91","390","120","163","95","105","95","22","24","292","112","50","90","149","74","93","53","0","14","0","14","0","14",
"1400000US37013931002","Census Tract 9310.02; Beaufort County; North Carolina","1277","167","845","146","7","8","202","90","205","83","157","74","224","121","50","60","432","151","138","121","187","94","73","61","24","27","0","14","10","15",
"1400000US37015960100","Census Tract 9601; Bertie County; North Carolina","1748","267","1365","242","60","64","150","54","480","171","385","134","212","87","78","63","383","169","123","121","34","47","197","131","19","22","10","13","0","14",
"1400000US37015960200","Census Tract 9602; Bertie County; North Carolina","1626","191","1164","189","87","67","268","113","224","118","216","99","117","103","252","161","462","184","76","80","140","72","230","172","12","17","0","14","4","6",
"1400000US37015960300","Census Tract 9603; Bertie County; North Carolina","1444","183","1155","188","104","65","235","101","455","150","171","103","147","79","43","37","289","122","50","40","112","96","77","65","50","65","0","14","0","14",
"1400000US37015960401","Census Tract 9604.01; Bertie County; North Carolina","1216","222","881","200","10","18","219","95","346","148","207","119","58","38","41","26","335","124","130","79","79","55","91","62","35","40","0","14","0","14",
"1400000US37015960402","Census Tract 9604.02; Bertie County; North Carolina","990","174","667","163","0","14","221","126","200","116","155","94","28","37","63","77","323","130","45","61","148","103","106","59","24","36","0","14","0","14",
"1400000US37017950101","Census Tract 9501.01; Bladen County; North Carolina","897","212","727","187","23","36","250","140","102","50","145","89","57","60","150","58","170","129","0","14","14","19","109","117","47","79","0","14","0","14",
"1400000US37017950102","Census Tract 9501.02; Bladen County; North Carolina","919","161","696","148","10","17","172","62","301","107","68","38","9","12","136","94","223","98","7","13","102","79","91","60","2","3","21","28","0","14",
"1400000US37017950200","Census Tract 9502; Bladen County; North Carolina","950","180","597","168","28","26","85","59","238","87","94","82","132","105","20","36","353","168","53","56","184","123","101","71","0","14","15","26","0","14",
"1400000US37017950301","Census Tract 9503.01; Bladen County; North Carolina","949","164","599","121","43","50","70","49","251","105","106","74","103","74","26","28","350","173","91","126","87","55","126","88","46","65","0","14","0","14",
"1400000US37017950302","Census Tract 9503.02; Bladen County; North Carolina","1267","192","1063","204","0","14","181","122","426","178","271","139","75","83","110","76","204","94","3","6","124","77","62","49","15","24","0","14","0","14",
"1400000US37017950401","Census Tract 9504.01; Bladen County; North Carolina","1500","209","744","184","0","14","160","132","419","148","70","64","0","14","95","101","756","175","227","127","304","136","225","116","0","14","0","14","0","14",
"1400000US37017950402","Census Tract 9504.02; Bladen County; North Carolina","901","167","684","170","14","24","30","34","320","125","182","85","138","126","0","14","217","82","8","14","182","78","4","8","10","21","0","14","13","22",
"1400000US37017950501","Census Tract 9505.01; Bladen County; North Carolina","1017","186","784","168","0","14","53","39","182","90","335","118","174","132","40","44","233","129","0","14","97","90","81","69","55","68","0","14","0","14",
"1400000US37017950502","Census Tract 9505.02; Bladen County; North Carolina","1354","248","944","230","22","23","162","79","411","198","262","104","49","43","38","42","410","153","25","19","195","100","92","40","86","99","12","20","0","14",
"1400000US37017950601","Census Tract 9506.01; Bladen County; North Carolina","1052","170","633","145","125","99","80","54","206","89","132","76","76","69","14","24","419","136","45","38","165","98","169","115","34","32","6","13","0","14",
"1400000US37017950602","Census Tract 9506.02; Bladen County; North Carolina","829","145","656","142","39","36","224","93","181","63","95","48","56","40","61","49","173","99","17","18","47","39","49","60","60","61","0","14","0","14",
"1400000US37019020101","Census Tract 201.01; Brunswick County; North Carolina","1153","146","925","132","17","18","178","63","481","134","124","60","96","88","29","49","228","112","10","18","113","83","90","83","15","19","0","14","0","14",
"1400000US37019020102","Census Tract 201.02; Brunswick County; North Carolina","2927","363","2722","345","48","55","796","306","1490","234","378","160","10","15","0","19","205","124","0","19","47","53","89","98","69","60","0","19","0","19",
"1400000US37019020105","Census Tract 201.05; Brunswick County; North Carolina","2946","276","2493","296","57","47","761","169","1361","279","212","113","102","103","0","19","453","183","34","55","152","99","129","90","119","97","8","13","11","19",
"1400000US37019020106","Census Tract 201.06; Brunswick County; North Carolina","1194","222","1055","229","0","14","175","121","497","196","222","157","113","107","48","76","139","90","0","14","61","45","78","84","0","14","0","14","0","14",
"1400000US37019020107","Census Tract 201.07; Brunswick County; North Carolina","1251","210","911","217","44","70","240","112","327","182","217","119","59","92","24","48","340","120","0","14","222","101","58","44","60","68","0","14","0","14",
"1400000US37019020108","Census Tract 201.08; Brunswick County; North Carolina","1436","170","1076","168","35","42","231","96","333","82","304","123","126","79","47","55","360","189","0","14","127","93","161","98","10","18","62","106","0","14",
"1400000US37019020201","Census Tract 202.01; Brunswick County; North Carolina","2916","373","1760","304","12","19","533","214","664","170","354","115","169","195","28","22","1156","244","13","15","351","132","575","245","217","117","0","19","0","19",
"1400000US37019020203","Census Tract 202.03; Brunswick County; North Carolina","1009","115","943","123","0","14","204","88","328","113","293","80","68","55","50","52","66","50","13","19","7","15","31","30","15","30","0","14","0","14",
"1400000US37019020204","Census Tract 202.04; Brunswick County; North Carolina","2913","296","2231","277","41","50","431","162","1135","254","372","142","240","156","12","19","682","342","0","19","451","282","215","151","16","27","0","19","0","19",
"1400000US37019020205","Census Tract 202.05; Brunswick County; North Carolina","3982","286","3576","281","28","30","886","227","2150","278","281","132","181","140","50","58","406","124","26","37","205","114","98","62","77","63","0","19","0","19",
"1400000US37019020206","Census Tract 202.06; Brunswick County; North Carolina","1034","158","755","224","26","41","265","155","269","114","109","77","66","55","20","25","279","172","23","37","180","180","65","60","0","14","11","19","0","14",
"1400000US37019020304","Census Tract 203.04; Brunswick County; North Carolina","4751","483","4409","451","22","37","733","221","2895","451","517","209","149","109","93","98","342","164","0","21","104","105","168","103","57","65","13","21","0","21",
"1400000US37019020305","Census Tract 203.05; Brunswick County; North Carolina","1527","174","1144","150","10","15","452","137","483","109","136","91","63","65","0","14","383","126","0","14","171","83","127","96","85","66","0","14","0","14",
"1400000US37019020306","Census Tract 203.06; Brunswick County; North Carolina","923","153","805","142","19","22","258","76","352","85","120","59","56","33","0","14","118","57","17","25","36","24","49","39","14","20","0","14","2","8",
"1400000US37019020307","Census Tract 203.07; Brunswick County; North Carolina","86","24","86","24","27","9","34","16","22","12","1","4","0","14","2","2","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US37019020308","Census Tract 203.08; Brunswick County; North Carolina","1036","112","983","113","0","14","156","62","516","118","170","71","118","67","23","25","53","35","0","14","12","13","30","24","11","19","0","14","0","14",
"1400000US37019020311","Census Tract 203.11; Brunswick County; North Carolina","1244","131","1068","122","19","21","297","116","547","97","195","65","10","16","0","14","176","118","0","14","72","68","30","49","74","82","0","14","0","14",
"1400000US37019020312","Census Tract 203.12; Brunswick County; North Carolina","598","180","594","180","5","8","157","115","238","76","166","137","28","31","0","14","4","7","0","14","0","14","4","7","0","14","0","14","0","14",
"1400000US37019020313","Census Tract 203.13; Brunswick County; North Carolina","1354","200","1171","202","28","36","438","183","466","108","155","67","58","46","26","28","183","85","0","14","71","67","80","67","6","9","26","22","0","14",
"1400000US37019020314","Census Tract 203.14; Brunswick County; North Carolina","234","59","234","59","0","14","65","45","145","49","24","30","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1400000US37019020315","Census Tract 203.15; Brunswick County; North Carolina","1161","179","939","158","38","34","236","99","446","123","159","87","52","41","8","13","222","109","57","78","127","65","35","36","3","6","0","14","0","14",
"1400000US37019020316","Census Tract 203.16; Brunswick County; North Carolina","384","55","369","55","2","3","121","34","171","36","43","28","30","34","2","3","15","15","0","14","3","4","12","14","0","14","0","14","0","14",
"1400000US37019020404","Census Tract 204.04; Brunswick County; North Carolina","1403","167","1041","171","0","14","345","157","341","123","237","115","59","54","59","49","362","136","27","44","274","121","22","25","39","57","0","14","0","14",
"1400000US37019020405","Census Tract 204.05; Brunswick County; North Carolina","1377","202","1105","190","17","23","229","94","446","87","290","126","76","48","47","70","272","115","15","22","170","109","57","38","0","14","14","21","16","24",
"1400000US37019020406","Census Tract 204.06; Brunswick County; North Carolina","520","89","486","90","4","4","159","72","254","42","55","16","12","13","2","4","34","21","0","14","5","7","29","19","0","14","0","14","0","14",
"1400000US37019020407","Census Tract 204.07; Brunswick County; North Carolina","827","136","743","131","8","12","171","85","351","102","152","66","41","37","20","23","84","46","0","14","51","34","33","33","0","14","0","14","0","14",
"1400000US37019020408","Census Tract 204.08; Brunswick County; North Carolina","1155","273","801","147","20","32","146","92","495","148","116","78","24","22","0","14","354","254","23","35","257","246","61","53","13","26","0","14","0","14",
