X,Y,objectid,lea_school,ptmoved,comments,reviewed,school_nam,principal,street_lon,phys_addr,phys_city,phys_zip,phone,mail_addr,mail_city,mail_zip,fax,url_addres,county,accr_stat,sch_desg,sch_type,sch_ptype,sch_ctype,ext_hours,num_teach,bgn_grade,end_grade,pre_k,elem,middle,high,early_coll
752046.937399998,181088.625100002,11,740352, , , ,Grifton Elementary,Will Sanderson,513 E McCrae Street,513 E McCrae Street,Grifton,28530,2525245141,PO Box 219,Grifton,28530,2525244505,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,37,PK,08,yes,yes,yes, , 
738963.625,205424.484299999,12,740340, , , ,Farmville Middle,Lionel Kato,3914 Grimmersburg Street,3914 Grimmersburg Street,Farmville,27828,2527532116,PO Box 50,Farmville,27828,2527537995,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,40,06,08, , ,yes, , 
739292.375200003,205474.7502,13,740344, , , ,Farmville Central High,Brad Johnston,3308 E Wilson Street,3308 E Wilson Street,Farmville,27828,2527535138,PO Box 209,Farmville,27828,2527537873,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,50,09,12, , , ,yes, 
774452.75,202767.187399998,14,740358, , , ,G R Whitfield,Monica Jacobson,4839 School Road,4839 School Road,Grimesland,27837,2527526614,PO Box 129,Grimesland,27837,2527527484,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,36,PK,08,yes,yes,yes, , 
757658.999799997,222804.7344,15,740374, ,point verified,1,North Pitt High,Mike King,5659 NC 11 North,5659 NC 11 North,Bethel,27812,2528250054,5659 NC 11 North,Bethel,27812,2528251310,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,60,09,12, , , ,yes, 
756835.374899998,229298.906100001,16,740320, , , ,Bethel Elementary,Jay Jester,210 E Washington Rd,210 E Washington Rd,Bethel,27812,2528253801,210 E Washington Rd,Bethel,27812,2528251203,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,23,PK,08,yes,yes,yes, , 
770475.4375,209186.656399999,17,740376, , , ,Pactolus Elementary,Betty Tolar,3405 Yankee Hall Road,3405 Yankee Hall Road,Greenville,27834,2527526941,3405 Yankee Hall Road,Greenville,27834,2527585817,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,46,PK,08,yes,yes,yes, , 
766349.75,219343.281100001,18,740396, , , ,Stokes Elementary,Lesley Tyson,2683 NC 903 North,2683 NC 903 North,Stokes,27884,2527526907,2683 NC 903 North,Stokes,27884,2527522956,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,25,PK,08,yes,yes,yes, , 
670885.624899998,197610.8906,19,510399, , , ,SmithfieldSelma High,Michael Taylor,700 Booker Dairy Rd,700 Booker Dairy Rd,Smithfield,27577,9199345191,700 Booker Dairy Rd,Smithfield,27577,9199343001,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston,SA,Public,Regular School,None,Traditional,-,89,09,12, , , ,yes, 
669907.249899998,197530.968800001,20,510397, , , ,Smithfield Middle,Jennifer Moore,1455 Buffalo Rd,1455 Buffalo Rd,Smithfield,27577,9199344696,1455 Buffalo Rd,Smithfield,27577,9199347552,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,None,Traditional,-,60,06,08, , ,yes, , 
675361.437700003,199931.2502,21,510390, ,point verified,1,Selma Middle School,John Bell,1533 Hwy 301 N,1533 Hwy 301 N,Selma,27576,9199652555,1533 Hwy 301 N,Selma,27576,9192020116,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,None,Traditional,-,41,06,08, , ,yes, , 
669450.874899998,194548.312399998,22,510380, , , ,South Campus Community High,Ersaleen Creech,521 Martin Luther King Jr Dr,521 Martin Luther King Jr Dr,Smithfield,27577,9199346481,PO Box 1336,Smithfield,27577,9199383555,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Alternative Education,None,Traditional,-,14,09,12, , , ,yes, 
686057.437399998,190901.218800001,23,510376, , , ,Princeton High,W Denning,101 Dr Donnie H Jones Jr Blvd,101 Dr Donnie H Jones Jr Bvd,Princeton,27569,9199365011,PO Box 38,Princeton,27569,9199362962,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston,SA,Public,Regular School,None,Traditional,-,67, , , , , , , 
677821.375,195748.8125,24,510372, ,point verified,1,MicroPine Level Elementary,Allen Sasser,304 Blanche Street,304 Blanche Street,Pine Level,27568,9199653323,PO Box 69,Pine Level,27568,9199656723,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,None,Traditional,-,36,KG,05, ,yes, , , 
661009.8125,188769.624899998,25,510340, , , ,Four Oaks Elementary,David Pearce,180 Hatcher St,180 Hatcher St,Four Oaks,27524,9199632166,180 Hatcher St,Four Oaks,27524,9199633851,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,None,Traditional,-,67,KG,05, ,yes, , , 
681973.437299997,200943.093800001,26,510344, , , ,North Johnston Middle,Jarvis Ellis,301 E Main St,301 E Main St,Micro,27555,9192843374,PO Box 69,Micro,27555,9192843399,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,None,Traditional,-,37,06,08, , ,yes, , 
683517.250100002,202313.6406,27,510368, , , ,North Johnston High,Tim Harrell,5915 US Hwy 301 N,5915 US Hwy 301 N,Kenly,27542,9192842031,PO Box 339,Kenly,27542,9192846224,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston,SA,Public,Regular School,None,Traditional,-,56,09,12, , , ,yes, 
659335.75,174280.1252,28,510360, , , ,Meadow School,Leigh White,7507 NC Hwy 50 S,7507 NC Hwy 50 S,Benson,27504,9198947064,7507 NC Hwy 50 S,Benson,27504,9198947092,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,None,Traditional,-,40,KG,08, , ,yes, , 
667674.1875,203615.3752,29,510408, , , ,Wilson's Mills Elementary,Jamie Stoke,4654 Wilson's Mills Rd,4654 Wilson's Mills Rd,Wilson's Mills,27593,9199342978,PO Box 176,Wilson's Mills,27593,9199345640,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,None,Traditional,-,44,KG,05, ,yes, , , 
686053.1197,208025.958700001,30,510356,"yes, 2012",down the street,1,GlendaleKenly Elementary,Tandra Batchelor-Mapp,2001 Bay Valley Rd,2001 Bay Valley Rd,Kenly,27542,9192842821,PO Box 279,Kenly,27542,9192845087,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,None,Traditional,-,43,KG,05, ,yes, , , 
752848.625,213877.6721,31,740310, , , ,Belvoir Elementary,Kevin Smith,2568 NC 33 West,2568 NC 33 West,Greenville,27834,2527526365,2568 NC 33 West,Greenville,27834,2527525008,http://www.pitt.k12.nc.us,Pitt,SA,Public,Regular School,None,Traditional,-,37,PK,05,yes,yes, , , 
654874.562600002,184155.890700001,32,510402, , , ,South Johnston High,Eddie Price,10381 US Hwy 301 S,10381 US Hwy 301 S,Four Oaks,27524,9198943146,10381 US Hwy 301 S,Four Oaks,27524,9198943229,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston,SA,Public,Regular School,None,Traditional,-,91,09,12, , , ,yes, 
661140.0625,188815.265700001,33,510342, , , ,Four Oaks Middle,David Cobb,1475 Boyette Road,1475 Boyette Road,Four Oaks,27524,9199634022,1475 Boyette Road,Four Oaks,27524,9199634123,http://johnstoncounty.nc.schoolwebpages.com/educa,Johnston, ,Public,Regular School,None,Traditional,-,37,06,08, , ,yes, , 
645849.187700003,96721.3123000003,34,90333, ,point verified,1,Elizabethtown Primary,Cheryl White-Smith,301 Mercer Road,301 Mercer Road,Elizabethtown,28337,9108623380,PO Box 2649,Elizabethtown,28337,9108627465,http://www.bladen.k12.nc.us,Bladen, ,Public,Regular School,None,Traditional,-,37,PK,04,yes,yes, , , 
640187.249899998,83344.9688999988,35,90304, ,point verified,1,B T Washington Primary,Kimbrie Esters,66 Booker T Washington Road,66 Booker T Washington Road,Clarkton,28433,9106474161,66 Booker T Washington Road, ,0,910647960,http://www.bladen.k12.nc.us,Bladen, ,Public,Regular School,None,Traditional,-,13,PK,05,yes,yes, , , 
641484.937399998,82603.4686999992,36,90320, , , ,Clarkton School of Discovery,Stephanie Ensminger,N College Street,10000 North College Street,Clarkton,28433,9106476531,PO Box 127,Clarkton,28433,0,http://www.bladen.k12.nc.us/csd/index.htm,Bladen, ,Public,Regular School,None,Traditional,-,22,06,08, , ,yes, , 
688592.75,35841.8907999992,37,100304, ,point verified,1,Bolivia Elementary,Kathy Owens,4036 Business 17 E,4036 Business 17 E,Bolivia,28422,9102536516,4036 Business 17 E,Bolivia,28422,9102538162,http://www.co.brunswick.k12.nc.us/education/schoo,Brunswick,SA,Public,Regular School,None,Traditional,-,27,KG,05, ,yes, , , 
699512.3125,54863.1484999992,38,100326, ,point verified,1,North Brunswick High,Sheila Grady,114 Scorpion Drive,1395 Scorpion Drive,Leland,28451,9103712261,PO Box 2080,Leland,28451,9103710879,http://www.co.brunswick.k12.nc.us/education/schoo,Brunswick,SA,Public,Regular School,None,Traditional,-,51,09,12, , , ,yes, 
698620.249899998,54406.5623000003,39,100316, ,point verified,1,Leland Middle,Patricia Underwood,927 Old Fayetteville Road NE,927 Old Fayetteville Road NE,Leland,28451,9103713030,927 Old Fayetteville Road NE,Leland,28451,9103710647,http://www.co.brunswick.k12.nc.us/education/schoo,Brunswick,SA,Public,Regular School,None,Traditional,-,32,06,08, , ,yes, , 
697756.3125,57184.1171000004,40,100320, , , ,Lincoln Elementary,Retha Rusk,1664 Lincoln Road,1664 Lincoln Road,Leland,28451,9103713597,1664 Lincoln Road,Leland,28451,9103716149,http://www.co.brunswick.k12.nc.us/education/schoo,Brunswick,SA,Public,Regular School,None,Traditional,-,28,KG,05, ,yes, , , 
699138.437600002,19888.4805999994,41,100336, ,point verified,1,Southport Elementary,Randy Horne,701 West 9th Street,701 West 9th Street,Southport,28461,9104576036,701 West 9th Street,Southport,28461,9104576042,http://www.co.brunswick.k12.nc.us/education/schoo,Brunswick,SA,Public,Regular School,None,Traditional,-,38,KG,05, ,yes, , , 
697533.812399998,29105.746199999,42,100335, ,point verified,1,South Brunswick Middle,David Ruth,100 Cougar Drive BSL,100 Cougar Drive BSL,Southport,28461,9108452771,100 Cougar Drive BSL,Southport,28461,9108458972,http://www.co.brunswick.k12.nc.us/education/schoo,Brunswick,SA,Public,Regular School,None,Traditional,-,39,06,08, , ,yes, , 
698060.000100002,29425.7443000004,43,100334, ,point verified,1,South Brunswick High,Wayne Price,280 Cougar Drive BSL,280 Cougar Drive BSL,Southport,28461,9108452204,280 Cougar Drive BSL,Southport,28461,9108458974,http://www.co.brunswick.k12.nc.us/education/schoo,Brunswick,SA,Public,Regular School,None,Traditional,-,64,09,12, , , ,yes, 
678112.937700003,30701.9259000011,44,100338, ,point verified,1,Supply Elementary,Kelly Andrews,51 Benton Road SE,51 Benton Road SE,Supply,28462,9107547644,51 Benton Road SE,Supply,28462,9107543112,http://www.co.brunswick.k12.nc.us/education/schoo,Brunswick,SA,Public,Regular School,None,Traditional,-,38,PK,05,yes,yes, , , 
792336.812299997,257095.218699999,45,80312, , , ,Bertie High,Calvin Moore,715 US 13 N,715 US 13 N,Windsor,27983,2527943034,715 US 13 N, ,0,2527941932,http://www.bertiehigh.bertie.k12.nc.us,Bertie,SA,Public,Regular School,None,Traditional,-,49,09,12, , , ,yes, 
779874.1875,275032.375100002,46,80348, , , ,Aulander Elementary,Lisa Parker,2515 NC 305,2515 NC 305,Aulander,27805,2523453211,2515 NC 305, ,0,0,http://www.aulander.bertie.k12.nc.us,Bertie,SA,Public,Regular School,None,Traditional,-,12,PK,05,yes,yes, , , 
770213.312600002,268524.812399998,47,80356, ,point verified,1,West Bertie Elementary,William Peele,Hwy 308,Hwy 308,Lewiston-Woodville,27849,2523447621,PO Box 279,LewistonWoodville,27849,2523442828,http://www.westbertie.bertie.k12.nc.us,Bertie,SA,Public,Regular School,None,Traditional,-,28,PK,05,yes,yes, , , 
809994.562299997,273999.656199999,48,80360, , , ,Colerain Elementary,Wesley Dudley,202 N Academy,202 N Academy,Colerain,27924,2523564714,202 N Academy, ,0,2523564522,http://www.colerain.bertie.k12.nc.us,Bertie,SA,Public,Regular School,None,Traditional,-,18,PK,05,yes,yes, , , 
719347.0,174285.265500002,49,540312, , , ,E B Frink Middle,Tina Letchworth,102 N Martin Luther King Jr Dr,102 N Martin Luther King Jr,La Grange,28551,2525663326,102 N Martin Luther King Jr,La Grange,28551,2525664027,http://www.lenoir.k12.nc.us/ebfrink,Lenoir,SA,Public,Regular School,None,Traditional,-,32, , , , , , , 
723160.750100002,161022.890500002,50,540320, ,point verified,1,Moss Hill Elementary,Susan Glover,6040 Hwy 55 West,6040 Hwy 55 West,Kinston,28504,2525695071,6040 Hwy 55 West,Kinston,28504,2525691405,http://www.lenoir.k12.nc.us/mosshill/,Lenoir,SA,Public,Regular School,None,Traditional,-,31,KG,05, ,yes, , , 
727645.5,155593.9373,51,540336, ,point verified,1,South Lenoir High,James Saint-Amand,3355 Old Hwy 11 South,3355 Old Hwy 11 South,Deep Run,28525,2525686161,3355 Old Hwy 11 South,Deep Run,28525,2525686015,http://www.lenoir.k12.nc.us/slhs/,Lenoir,SA,Public,Regular School,None,Traditional,-,47,09,12, , , ,yes, 
734054.312399998,157126.1719,52,540344, ,point verified,1,Woodington Middle,Teresa George,4939 Hwy 258 South,4939 Hwy 258 South,Kinston,28504,2525279570,4939 Hwy 258 South,Kinston,28504,2525273883,http://www.lenoir.k12.nc.us/woodington/,Lenoir,SA,Public,Regular School,None,Traditional,-,38,06,08, , ,yes, , 
724015.3125,145257.109299999,53,540328, ,point verified,1,Pink Hill Elementary,Lee Anne Hardy,202 S Central Avenue,2666 HC Turner Road,Pink Hill,28572,2525684176,2666 HC Turner Road,Pink Hill,28572,2525686144,http://www.lenoir.k12.nc.us/pinkhill/,Lenoir,SA,Public,Regular School,None,Traditional,-,26,KG,05, ,yes, , , 
740289.562399998,162684.328299999,54,540340, ,point verified,1,Southwood Elementary,Jerry Walton,1245 Hwy 58 South,1245 Hwy 58 South,Kinston,28504,2525279081,1245 Hwy 58 South,Kinston,28504,2525276417,http://www.lenoir.k12.nc.us/southwood/,Lenoir,SA,Public,Regular School,None,Traditional,-,18,KG,05, ,yes, , , 
729637.062600002,177366.156100001,55,540324, , , ,North Lenoir High,Gil Respess,2400 Institute Road,2400 Institute Road,La Grange,28551,2525279184,2400 Institute Road,La Grange,28551,2525278672,http://www.lenoir.k12.nc.us/nlhs/,Lenoir,SA,Public,Regular School,None,Traditional,-,64,09,12, , , ,yes, 
744044.511299998,175118.1446,56,540308,"yes, 2012",across the street,1,ContentneaSavannah School,Frances Herring,2909 Graingers Station Rd,3400 Ferrell Road,Kinston,28501,2525278591,3400 Ferrell Road,Kinston,28501,2525279014,http://www.lenoir.k12.nc.us/css,Lenoir,SA,Public,Regular School,None,Traditional,-,46,KG,08, , ,yes, , 
736639.187700003,170392.421999998,57,540326, ,point verified,1,Northwest Elementary,Dawn Hunter,1701 Old Well Rd,1701 Old Well Rd,Kinston,28504,2525275143,1701 Old Well Rd,Kinston,28501,2525279375,http://www.lenoir.k12.nc.us/northwest/,Lenoir,SA,Public,Regular School,None,Traditional,-,30,KG,05, ,yes, , , 
729721.125200003,170624.8596,58,540304, , , ,Banks Elementary,Cynthia Faulkner,2148 Falling Creek Rd,2148 Falling Creek Rd,Kinston,28504,2525279470,2148 Falling Creek Rd,Kinston,28504,2525229714,http://www.lenoir.k12.nc.us/banks/,Lenoir,SA,Public,Regular School,None,Traditional,-,32,KG,05, ,yes, , , 
862530.437399998,290166.4375,59,150308, ,point verified,1,Grandy Primary,Timothy Lazar,175 NC Hwy 343 North,175 NC Hwy 343 North,Camden,27921,2523314838,175 NC Hwy 343 North,Camden,27921,2523385449,http://www.camden.k12.nc.us/gps/index.htm,Camden,SA,Public,Regular School,None,Traditional,-,37,KG,03, ,yes, , , 
863520.187600002,289580.093800001,60,150304, ,point verified,1,Camden County High,Billie Berry,103 US 158 W,103 US 158 W,Camden,27921,2523380114,103 US 158 W,Camden,27921,2523316792,http://www.camden.k12.nc.us/cchs/index.html,Camden,SA,Public,Regular School,Cooperative Innovative HS,Traditional,-,32,09,12, , , ,yes, 
560136.375200003,201164.640799999,61,190304, , , ,Bennett Elementary,Christopher Poston,61 Randolph Street,61 Randolph Street,Bennett,27208,3365813586,PO Box 107,Bennett,27208,3365814054,http://www.chatham.k12.nc.us/bennett/,Chatham,SA,Public,Regular School,None,Traditional,-,16,PK,08,yes,yes,yes, , 
571527.812399998,210152.374899998,62,190308, ,point verified,1,Bonlee Elementary,Kim Taylor,153 Bonlee School Road,153 Bonlee School Road,Bonlee,27213,9198375316,153 Bonlee School Road,Bonlee,27213,9198375583,http://www.chatham.k12.nc.us/bonlee/index.html,Chatham,SA,Public,Regular School,None,Traditional,-,25,KG,08, , ,yes, , 
574212.5,206813.6873,63,190316, ,point verified,1,Chatham Central High,Mitch Stensland,14950 NC Hwy 902 W,14950 NC Hwy 902 W,Bear Creek,27207,9198372251,14950 NC Hwy 902 W,Bear Creek,27207,9198372975,http://www.chatham.k12.nc.us/cchs/index.html,Chatham,SA,Public,Regular School,None,Traditional,-,32,09,12, , , ,yes, 
602564.500100002,208784.953000002,64,190340, , , ,Moncure Elementary,Kaye Clark,600 Moncure School Road,600 Moncure School Road,Moncure,27559,9195423725,600 Moncure School Road,Moncure,27559,9195422035,http://www.chatham.k12.nc.us/moncure/MONCUREPANTH,Chatham,SA,Public,Regular School,None,Traditional,-,15,PK,08,yes,yes,yes, , 
593607.062299997,217788.046999998,65,190328, , , ,Horton Middle,Mattie Smith,79 Horton Road,79 Horton Road,Pittsboro,27312,9195422303,PO Box 639,Pittsboro,27312,9195427099,http://www.chatham.k12.nc.us/hms/index.html,Chatham,SA,Public,Regular School,None,Traditional,-,26,05,08, , ,yes, , 
569130.462899998,217198.1765,66,190312,"yes, 2012",down the street,1,Chatham Middle,Tracy Fowler,2025 South 2nd Avenue Ext,2025 South 2nd Avenue Ext,Siler City,27344,9196632414,2025 South 2nd Avenue Ext,Siler City,27344,9196632871,http://www.chatham.k12.nc.us/newCMS/cmsindex.html,Chatham,SA,Public,Regular School,None,Traditional,-,27,06,08, , ,yes, , 
576404.499899998,225290.7971,67,190352, , , ,Silk Hope Elementary,Chad Morgan,7945 Silk Hope/Gum Springs Rd,7945 Silk Hope/Gum Springs R,Siler City,27344,9197423911,7945 Silk Hope/Gum Springs Rd,Siler City,27344,9197425032,http://www.chatham.k12.nc.us/shs/,Chatham,SA,Public,Regular School,None,Traditional,-,25, , , , , , , 
580177.9375,205509.2656,68,190332, ,point verified,1,J S Waters Elementary,Beverly Browne,55 J S Waters School Road,55 J S Waters School Road,Goldston,27252,9198982259,55 J S Waters School Road,Goldston,27252,9198984160,http://www.chatham.k12.nc.us/jsw/index.html,Chatham,SA,Public,Regular School,None,Traditional,-,22,KG,08, , ,yes, , 
593940.374799997,222650.3125,69,190342, ,point verified,1,Northwood High,Chris Blice,310 Northwood High School Road,310 Northwood High School Rd,Pittsboro,27312,9195424181,310 Northwood High School Ro*,Pittsboro,27312,9195424934,http://www.chatham.k12.nc.us/nhs/index.html,Chatham,SA,Public,Regular School,None,Traditional,-,61, , , , , , , 
647922.375200003,127056.140799999,70,260312, , , ,Beaver Dam Elementary,Jeanna Daniels,12059 Hwy 210 S,12059 Hwy 210 S,Roseboro,28382,9105313378,12059 Hwy 210 S,Roseboro,28382,9105314353,http://www.bdes.ccs.k12.nc.us/,Cumberland,SA,Public,Regular School,None,Traditional,-,10,PK,05,yes,yes, , , 
624105.1325,162827.572500002,71,260412, ,point verified,1,Raleigh Road Elementary,Annette Evans,8330 Ramsey Street,8330 Ramsey Street,Linden,28356,9104880850,8330 Ramsey Street,Linden,28356,9108225663,http://www.rres.ccs.k12.nc.us/,Cumberland,SA,Public,Regular School,None,Traditional,-,18,KG,01, ,yes, , , 
631945.500100002,137225.0156,72,260416, , , ,J W Seabrook Elementary,Donna Parnell,4619 NC Hwy 210 South,4619 NC Hwy 210 South,Fayetteville,28301,9103232930,4619 NC Hwy 210 South,Fayetteville,28301,9104868872,http://www.jwses.ccs.k12.nc.us/,Cumberland,SA,Public,Regular School,None,Traditional,-,24,PK,05,yes,yes, , , 
637644.25,139937.781100001,73,260432, , , ,Stedman Primary,Deborah Faircloth,155 E First Street,155 E First Street,Stedman,28391,9104846954,155 E First Street,Stedman,28391,9104841604,http://www.spes.ccs.k12.nc.us/,Cumberland,SA,Public,Regular School,None,Traditional,-,13,PK,01,yes, , , , 
636462.562600002,155345.7656,74,260356, , , ,District No 7 Elementary,Rhonda Hill,5721 Smithfield Road,5721 Smithfield Road,Wade,28395,9104830001,5721 Smithfield Road,Wade,28395,9104836047,http://www.d7es.ccs.k12.nc.us/,Cumberland,SA,Public,Regular School,None,Traditional,-,20,PK,05,yes,yes, , , 
631345.124899998,152280.499899998,75,260332, ,point verified,1,Eastover Central Elementary,Vicky Glover,5174 Dunn Road,5174 Dunn Road,Eastover,28312,9104838997,5174 Dunn Road,Fayetteville,28301,9104836177,http://www.ecnes.ccs.k12.nc.us/,Cumberland,SA,Public,Regular School,None,Traditional,-,34,PK,05,yes,yes, , , 
613560.062399998,135537.359200001,76,260415, , , ,Rockfish Elementary,Suzanne Owen,5763 Rockfish Road,5763 Rockfish Road,Hope Mills,28348,9104245313,5763 Rockfish Road,Hope Mills,28348,9104245338,http://www.rfes.ccs.k12.nc.us/index.htm,Cumberland,SA,Public,Regular School,None,Traditional,-,45,KG,05, ,yes, , , 
616011.978699997,136505.2086,77,260425, ,point verified,1,South View Middle,Terrence McAllister,4100 Elk Road,4100 Elk Road,Hope Mills,28348,9104243131,4100 Elk Road,Hope Mills,28348,9104242402,http://www.svms.ccs.k12.nc.us/index.htm,Cumberland,SA,Public,Regular School,None,Traditional,-,54,06,08, , ,yes, , 
628139.687600002,141797.593600001,78,260440, , , ,Sunnyside Elementary,Angela Fowler,3876 Sunnyside School Road,3876 Sunnyside School Road,Fayetteville,28312,9104834319,3876 Sunnyside School Road,Fayetteville,28312,9104835711,http://www.sses.ccs.k12.nc.us/,Cumberland,SA,Public,Regular School,None,Traditional,-,27,PK,05,yes,yes, , , 
877626.728600003,297041.7817,79,270304, ,point verified,1,Central Elementary,Daun Belangia,504 Shortcut Road,504 Shortcut Road,Barco,27917,2524530010,504 Shortcut Road,Barco,27917,2524530011,http://ccs.currituck.k12.nc.us/ces/main.html,Currituck, ,Public,Regular School,None,Traditional,-,12,PK,05,yes,yes, , , 
881587.214599997,295117.4769,80,270306,"yes, 2012",down the street,1,Currituck County High,Diane Newbern,4203 Caratoke Hwy,4203 Caratoke Hwy,Barco,27917,2524530014,4203 Caratoke Hwy,Barco,27917,2524530017,http://www.currituck.k12.nc.us,Currituck, ,Public,Regular School,None,Traditional,-,49,09,12, , , ,yes, 
881628.4463,294904.390299998,81,270308,"yes, 2012",down the street,1,Currituck County Middle,Rhonda James-Davis,4263 Caratoke Hwy,4263 Caratoke Hwy,Barco,27917,2524532171,4263 Caratoke Hwy,Barco,27917,2524530019,http://www.currituck.k12.nc.us,Currituck, ,Public,Regular School,None,Traditional,-,22,06,08, , ,yes, , 
862716.062700003,311427.250100002,82,270316, , , ,Moyock Elementary,Whitney Bisbing,255 Tulls Creek Road,255 Tulls Creek Road,Moyock,27958,2524356521,255 Tulls Creek Road,Moyock,27958,2524356351,http://www.currituck.k12.nc.us,Currituck, ,Public,Regular School,None,Traditional,-,19,KG,05, ,yes, , , 
885529.9375,310865.219000001,83,270312, ,point verified,1,Knotts Island Elementary,Thomas Wilson,413 Woodleigh Road,413 Woodleigh Road,Knotts Island,27950,2524293327,PO Box 40,Knotts Island,27950,2524293172,http://www.currituck.k12.nc.us,Currituck, ,Public,Regular School,None,Traditional,-,6,KG,05, ,yes, , , 
