X,Y,FID,County,SchoolName,Address,City,State,ZipCode,Website,Contact
2024617.40131222,300371.842363387,46,Robeson,Antioch Christian Academy,5071 old Whiteville Rd,lumberton,NC,28358,https://www.acanc.org,mailto:jessealey@acanc.org
1712327.89498697,828715.377537727,47,Guilford,APP Young Scholar Academy,2212 Eastchester Drive,High Point,NC,27265,,mailto:Keeyama@apurposefulplace.com
1455044.3695288,623009.443806067,48,Mecklenburg,Ambassador Christian School,2520 Ambassador Christian Way,Huntersville,NC,28078,https://www.ambassadorchristian.com,mailto:dr.g@ambassadorchristian.com
2416658.74321222,572254.046301305,49,Lenoir,Arendell Parrott Academy,1901 Dobbs Farm Road,Kinston,NC,28504,https://www.parrottacademy.org,mailto:redwards@parrottacademy.org
1195705.7248213,568604.666460976,50,Cleveland,Arise Christian Academy,439 Sandy Run Church Rd,Mooresboro,NC,28114,https://trailblazersarise.com,mailto:info@trailblazersarise.com
2497811.16063146,563764.343792558,51,Craven,Ark Discovery Institute,9210 NC 55,Dover,NC,28526,,mailto:scott.murphy@tfheritage.org
1518565.33008505,534268.957573473,52,Mecklenburg,Arlington Christian Academy,9801 Arlington Church Road,Mint Hill,NC,28227,https://www.arlingtonacademy.org,mailto:csustar@arlingtonacademy.org
2020764.3699763,725190.96319589,53,Wake,Apogee Triangle,3501 US 64 Hwy Suite 102,Apex,NC,27523,,mailto:mike@apogeetriangle.org
1055762.66776572,769033.651100889,54,Yancey,Arthur Morgan School,60 AMS Circle,Burnsville,NC,28714,https://www.arthurmorganschool.org,mailto:info@arthurmorganschool.org
1709812.07193464,693820.858941481,55,Randolph,Asheboro Hybrid Academy,4751 Dunbar Bridge Road,Asheboro,NC,27205,https://www.asheborohybridacademy.com,mailto:admissions@asheborohybridacademy.com
944822.194765225,703547.107861638,56,Buncombe,Asheville Catholic School,12 Culvern Street,Asheville,NC,28804,https://www.ashevillecatholic.org,mailto:mstuart@ashevillecatholic.org
936018.660206974,715133.101093814,57,Buncombe,Asheville Montessori School,360 Weaverville Rd.,Asheville,NC,28804,https://www.ashevillemontessorischool.com,mailto:phil@avlmontessori.com
1046342.21088488,661735.515960068,58,Buncombe,Asheville Academy for Girls,126 Camp Elliot Road,Black Mountain,NC,28711,https://www.ashevilleacademy.com,mailto:csowers@magnoliamillschool.com
1493230.02281614,466784.095168144,59,Union,Arborbrook Christian Academy,4823 Waxhaw-Indian Trail Rd.,Matthews,NC,28104,https://www.arborbrook.org,mailto:andy.zawacki@arborbrook.org
986345.364671469,692430.684884563,60,Buncombe,Asheville Christian Academy,74 Riverwood Road,Swannanoa,NC,28778-1089,https://www.ashevillechristian.org,mailto:beth.hedrick@ashevillechristian.org
909330.349410474,682223.926754817,61,Buncombe,Asheville-Pisgah Christian Sch.,90 Academy Drive,Candler,NC,28715,https://www.ashevillepisgah.org,mailto:apcs.principal@gmail.com
948089.375238717,676440.580053806,62,Buncombe,Asheville Waldorf School,376 Hendersonville Rd.,Asheville,NC,28803,https://www.ashevillewaldorf.org,mailto:info@ashevillewaldorf.org
1356664.79594713,575662.900704056,63,Gaston,Assembly of Faith Chr. Sch.,1030 Lower Dallas Hwy,Dallas,NC,28034,,mailto:assemblyoffaithchildcare@gmail.com
2090507.36631681,740016.04410997,64,Wake,Atlas International School,4112 Garland Drive,Raleigh,NC,27606,https://www.atlasinternationalschool.com,mailto:info@atlasinternationalschool.com
2090507.36631681,740016.04410997,65,Wake,Atlas Classical Education,4112 GARLAND DR,Raleigh,NC,27601,,mailto:guardowlnc@gmail.com
1786201.61633372,722884.141037896,66,Randolph,Bailey's Grove Baptist School,624 Pleasant Cross Rd.,Asheboro,NC,27203,,mailto:school.bgbc@gmail.com
1932339.28435963,559652.014418811,67,Moore,BCH Wilderness Camp School,255 Cameron Camp Road,Cameron,NC,28326,https://www.bchfamily.org,mailto:jsullivan@bchfamily.org
956263.568535969,673206.861783728,68,Buncombe,Asheville School,360 Asheville School Road,Asheville,NC,28806,https://www.ashevilleschool.org,mailto:sgroa@ashevilleschool.org
2013325.37665223,488290.417640984,69,Cumberland,Bal Perazim Christian Academy,4921 Bragg Boulevard,Fayetteville,NC,28303,"https://www.balperazim.org  link"" B P Academy""",mailto:Academy@BPAcademy.org
2977097.50159755,858326.145743892,70,Dare,Beacon Christian Academy,100 Beacon Dr,Kitty Hawk,NC,27949,https://www.Beaconobx.com,mailto:secretary@obxchurch.org
1720389.82177646,909948.0326574,71,Guilford,Beacon Academy,8430 Southard Rd,Stokesdale,NC,27357,https://www.beaconacademync.org,mailto:learn@beaconacademync.org
1012111.72980531,647378.175252229,72,Henderson,Bearwallow Academy,41 Hero's Way,Hendersonville,NC,28792,https://www.timbersongacademy.com,mailto:bonnie@bearwallowacademy.org
1012111.72980531,647378.175252229,73,Henderson,BearWallow Academy,41 Hero's Way,Asheville,NC,28801,,mailto:dana@bluerockbh.com
2582758.40805946,660141.940735146,74,Beaufort,Beaufort County Micro School,601 East 11th Street,Washington,NC,27889,https://www.beaufortmicroschool.org/,mailto:k12@beaufortmicroschool.org
2011014.53842613,475590.24487865,75,Cumberland,Berean Baptist Academy,518 Glensford Drive,Fayetteville,NC,28314,https://www.bbafnc.org,mailto:records.bbc@gmail.com
2016039.05888888,808331.160104141,76,Durham,Aya Renaissance School,3329 Durham-Chapel Hill Boulevard #201,Durham,NC,27707,,mailto:ayarenaissanceschool@gmail.com
2573809.88625839,507607.454138055,77,Craven,Bear Town Academy  LLC,801 S Glenburnie Road,New Bern,NC,28562,,mailto:beartownacademy@gmail.com
1650657.3267273,836022.685101554,78,Forsyth,Berean Christian School,4135 Thomasville Road,Winston-Salem,NC,27107,https://www.bereanchristianschool.com,mailto:bereanchristianschoolwsnc@gmail.com
890792.532483548,554558.624015063,79,Transylvania,Bethany Christian School,135 Bert Lane Rd,Brevard,NC,28712,https://www.bethanybaptistministries.org,mailto:lynn.taylor@bcsbrevard.org
1686469.70949872,768578.041447803,80,Davidson,Bethany Christian School,584 Tower Rd.,Thomasville,NC,27360,https://www.bethanychristianschoolnc.com,mailto:volunteerfields@gmail.com
930018.777193636,658822.8301844,81,Buncombe,Bent Creek Preschool,1554 Brevard Rd  Asheville  NC,Asheville,NC,28806,,mailto:vickiteaguebcps@gmail.com
856979.164742976,670532.629927471,82,Haywood,Bethel Christian Academy,100 Park Street,Canton,NC,28716,https://www.bcacanton.org,mailto:bethelchristianacademy3@gmail.com
1445665.64681648,564421.058358401,83,Mecklenburg,Berean Junior Academy,3748 N. Beatties Ford Road,Charlotte,NC,28216,https://www.bereanjunioracademy.org,mailto:bereansdaacademy@aol.com
2403799.69904847,560551.467344314,84,Lenoir,Bethel Christian Academy,1936 Banks School Road,Kinston,NC,28504,https://www.bcatrojans.com,mailto:dphillips@bethelfwb.com
2308230.19104089,41420.0338244736,85,Brunswick,BHI Academy LLC,PO Box 3499,Bald Head Island,NC,28461,https://www.bhiacademy.org,mailto:co-sheree@bhiacademy.org
2607236.47721347,865703.430529982,86,Bertie,Bethel Assembly Christian Acad.,121 E Askewville Street,Windsor,NC,27983,http://askewvilleassembly.com,mailto:askewvilleag@embarqmail.com
2047370.98900706,798484.099417731,87,Durham,Bethesda Christian Academy,1914 S. Miami Boulevard,Durham,NC,27703,https://www.BCAcrusaders.org,mailto:Alex.Grey@bcacrusaders.org
1109320.95467781,809214.276120067,88,Avery,Bethel Christian Academy,12021 US Highway 19E,Spruce Pine,NC,28777,https://www.bethelchristianacademy.org,mailto:pastordarrin@bellsouth.net
1997059.72119147,468251.395055056,89,Cumberland,Birds Nest Montessori School,6867 Raeford Road,Fayetteville,NC,28304,https://www.Birdsnestmontessorischool@yahoo.com,mailto:birdsnestmontessorischool@yahoo.com
1889972.62598288,801154.90214698,90,Alamance,Bible Wesleyan Chr. Sch.,106 Moores Chapel Cemetery Rd,Graham,NC,27253,,mailto:bwcs@emypeople.net
1011231.97040997,694653.636147305,91,Buncombe,Black Mountain Academy,501 W. State Street,Black Mountain,NC,28711,https://theblackmountainacademy.com,mailto:drollins@theblackmountainacademy.com
1868355.99598789,853493.692154229,92,Alamance,Blessed Sacrament Catholic Sch.,515 Hillcrest Avenue,Burlington,NC,27215-3841,https://www.bssknights.org,mailto:office@bssknights.org
812938.100922391,669409.259470806,93,Haywood,Blue Ridge Adventist Christian School,119 Hampshire Drive,Waynesville,NC,28786,https://www.bracs.org,mailto:bhoosier@carolinasda.org
1686230.67716838,848959.291446149,94,Forsyth,Bishop McGuinness Catholic H. S.,1725 NC Highway 66 South,Kernersville,NC,27284,https://www.bmhs.us,mailto:cwillis@bmhs.us
1013323.97213148,695343.969740391,95,Buncombe,Black Mountain Montesorri,101 Carver Ave.,Black Mountain,NC,28711,https://www.bmtmont.org,mailto:office@bmtmont.org
2094386.04523923,772015.19336614,96,Wake,Bonner Academy,6216 Hunter Street,Raleigh,NC,27612,https://www.bonneracademy.com,mailto:bonneracademy@yahoo.com
2471422.43683422,288664.594780564,97,Onslow,Born Again Christian Academy,1204 Highway 210,Sneads Ferry,NC,28460,,mailto:bornagainchristianacademy@gmail.com
1917925.24986756,849601.001776889,98,Alamance,Bradford Academy,939 South Third Street,Mebane,NC,27302,https://www.bradfordacademy.org,mailto:office@bradfordacademy.org
1746908.08665322,854034.705507889,99,Guilford,B'nai Shalom Day School,804-A Winview Drive,804-A Winview Drive,NC,27410,https://www.bnai-shalom.org,mailto:eturner@bnai-shalom.org
1304907.0831898,608382.050160646,100,Gaston,Bridge of Hope Christian School,100 Anthony Grove Rd,Crouse,NC,28033,https://www.bridgeofhopeschool.org,mailto:pastor@anthonygrove.com
2855562.57668889,985987.782480478,101,Currituck,BridgeWay Prep Christian,575 Shawboro Rd,Shawboro,NC,27973,https://www.bwpcskids.org,mailto:info.bwprep@gmail.com
988913.757172465,615600.728636637,102,Henderson,Blue Ridge Classical Academy,1455 Gilliam Road,Hendersonville,NC,28739-7050,https://www.blueridgeclassicalacademy.com/,mailto:gcorbin049@gmail.com
1408903.31253289,502606.752853394,103,Mecklenburg,Bright Kids STEAM Academy,13925 Erwin RD,Charlotte,NC,28273,,mailto:walterbowersjr@gmail.com
1544788.88098431,450917.280117065,104,Union,Bright Spot Baptist Academy,200 Tomberlin Street,MONROE,NC,28112,,mailto:brightspotbaptistacademymonroenc@yahoo.com
2355228.78208289,803823.664854065,105,Nash,Bridgeway Excellence Academy,719 Peachtree Street,Rocky Mount,NC,27804,https://bridgewayexcellenceacademy.org/,mailto:cmariec2431@gmail.com
1774984.55773114,431703.565919891,106,Richmond,Bright Sparks Academy,108 Crow Run,Rockingham,NC,28379,https://www.earlystartintervention.com,mailto:drwatkins@earlystartintervention.com
2465886.08143714,866407.785748556,107,Halifax,Brighter Days Academy Inc.,91 Food Lion Rd,Scotland Neck,NC,27874,,mailto:brighterdaysacademy1@gmail.com
1450255.47950031,485215.78796348,108,Mecklenburg,British International Sch. of Charlotte,7000 Endhaven Lane,Charlotte,NC,28277,https://www.bischarlotte.org,mailto:administration@bischarlotte.org
1697527.30811839,816223.86610347,109,Guilford,Brittain Academy,155 Northpoint Avenue  Suite 206,High Point,NC,27262,https://www.brittainacademy.net,mailto:info@brittainacademy.net
2300531.36457506,597672.812720895,110,Halifax,Brighter Days Academy Goldsboro,503 N. William St,Goldsboro,NC,27530,,mailto:BDAcademy2023@gmail.com
1450416.52412573,540243.502382889,111,Mecklenburg,Brookstone Schools,301 S. Davidson St.,Charlotte,NC,28202,https://www.brookstoneschools.org,mailto:john.murray@brookstoneschools.org
2471465.36916305,654757.591923818,112,Pitt,Brookhaven SDA School,4658 Reedy Branch Road,Winterville,NC,28590,https://www.brookhavenschool.us,mailto:mmeadows@carolinasda.org
1769640.07596606,859607.332485974,113,Guilford,Buffalo Academy,803 16th Street,Greensboro,NC,27405,https://www.WWW.BuffaloAcademy.net,mailto:hallfrank@aol.com
1869919.59719139,849306.088652804,114,Alamance,Burlington Christian Academy,621 East Sixth Street,Burlington,NC,27215,https://www.bcaroyals.com,mailto:lferrara@bcaroyals.com
1855747.29318698,847714.527203396,115,Alamance,Burbrella Microschool,309 Huffman Mill Road  Suite 140 & Suite 130,Burlington,NC,27215,https://www.burbrella.org,mailto:dburgess@burbrellaeducation.com
1532519.94259572,598097.019877732,116,Cabarrus,C3 Concord Christian School,265 Manor Avenue SW,Concord,NC,28025,https://www.concordchristiancenter.com,mailto:churchinfo@concordchristiancenter.com
1737926.6423458,869804.693324804,117,Guilford,Caldwell Academy,2900 Horse Pen Creek Road,Greensboro,NC,27410,https://www.caldwellacademy.org,mailto:headofschool@caldwellacademy.org
1762927.27443105,846984.31639348,118,Guilford,Bryan School,204 N. Mendenhall Street,Greensboro,NC,27405,,mailto:rosumahb@gmail.com
896866.631883889,570271.692982554,119,Transylvania,Calvary Baptist Mission Academy,100 Cemetery Road,Pisgah Forest,NC,28768,,mailto:calvarybaptistmissionacademy@gmail.com
2577909.06309938,498753.14868398,120,Craven,Calvary Baptist Church School,1821 Rhem Avenue,New Bern,NC,28560,https://www.calbapt.org,mailto:s.willis@calbaptchurchschool.org
2114052.07874171,568956.055193901,121,Harnett,Brookside Christian Academy,2004 US 301 N.  804 W. Broad St.,Dunn,NC,28334,https://www.brooksideca.org,mailto:bdean@brooksideca.org
1437593.05206931,724934.477160305,122,Iredell,Calvary Chapel Academy,112 Moose Club Road,Statesville,NC,28677,https://www.Calvarychapelacademy.com,mailto:lobby@cclkn.org
1457230.09678464,490823.745251477,123,Mecklenburg,Calvary Christian Academy,5801 Pineville-Matthews Rd,Charlotte,NC,28226,https://www.calvarychristianacademy.com/,mailto:ssauerwein@calvarychristianacademy.com
2483005.14759263,690163.176952392,124,Pitt,Calvary Christian Academy,1412 Holbert St.,Greenville,NC,27834,https://www.calvarychristianacademygreenville.com,mailto:calvarycca@cleaninter.net
1881322.46480556,518337.690551564,125,Moore,Calvary Christian School,400 S. Bennett Street,Southern Pines,NC,28387,https://www.calvary-christian.org,mailto:lauraingram@calvary-christian.org
1598022.30863798,919600.908036649,126,Stokes,Calvary Christian School,536 S. Main St,King,NC,27021,https://www.ccsking.org,mailto:officeadmin@ccsking.org
2221000.42258738,815107.83749564,127,Franklin,Calvary Christian School,394 Ferrells Bridge Road,Louisburg,NC,27549,https://www.calvarybaptistoflouisburg.com,mailto:calvarychristianoflouisburg@gmail.com
1601071.73364148,851838.555700734,128,Forsyth,Calvary Day School,134 South Peace Haven Rd.,Winston-Salem,NC,27104,https://www.calvaryday.school,mailto:rhardee@calvaryday.school
2326257.45747972,181734.56881164,129,New Hanover,Calvary Christian School,423 North 23rd Street,WILMINGTON,NC,28405,https://www.calvarychristianwilmington.com,mailto:school@calvarybaptistwilmington.org
2025877.35843797,815198.497419313,130,Durham,Camelot Academy,809 West Proctor Street,Durham,NC,27707,https://www.camelotacademy.org,mailto:camelot@camelotacademy.org
1943657.62819272,600943.177571222,131,Lee,Calvary Education Center,6416 Lemon Springs Rd.,Sanford,NC,27332,https://www.calvarylemonsprings.com/calvary-educat,mailto:cecofficestaff@gmail.com
1720515.37106605,869667.365515471,132,Guilford,Calvary Triad Academy,1665 Pleasant Ridge Rd.,Greensboro,NC,27409,https://www.calvarytriad.academy,mailto:kcatron@calvarytriad.com
1501793.70581996,606379.157512888,133,Cabarrus,Cannon School,5801 Poplar Tent Road,Concord,NC,28027,https://www.cannonschool.org,mailto:shopes@cannonschool.org
934198.475855216,684894.468329728,134,Buncombe,Canterbury Classical School,531 Haywood Road,Asheville,NC,28806,https://www.canterburyclassicalschool.com,mailto:admin@canterburyclassicalschool.com
1765432.43674356,872029.057314396,135,Guilford,Canterbury School,5400 Old Lake Jeanette Road,Greensboro,NC,27455,https://www.canterburygso.org,mailto:stuarth@canterburygso.org
1923054.50535706,451105.758742735,136,Hoke,Canyon Hills Treatment Facility Academy,769 Aberdeen Road,Raeford,NC,28376,https://www.canyonhillstreatmentfacility.com,mailto:chtfeducation@canyonhillstreatmentfacility.co
1437759.80534472,519550.02703765,137,Mecklenburg,CAPES Day School,810 Tyvola Road  Suite 118,Charlotte,NC,28217,https://www.capesdayschool.org,mailto:admin@capesdayschool.com
954222.15759255,637745.19976756,138,Buncombe,Canongate Catholic High School,109 Crescent Hill Rd.,Arden,NC,28704,https://www.canongatecatholic.org,mailto:b.edwards@canongatecatholic.org
2335015.48917621,154786.933074474,139,New Hanover,Cape Fear Academy,3900 S College Road,Wilmington,NC,28412,https://www.capefearacademy.org,mailto:ed.ellison@capefearacademy.org
2090729.85504505,585580.88021189,140,Harnett,Cape Fear Christian Academy,138 Erwin Chapel Road,Erwin,NC,28339,https://www.capefearchristianacademy.org,mailto:apope@cfcaeagles.com
2080396.13194613,747223.313488066,141,Wake,Cardinal Gibbons High School,1401 Edwards Mill Rd,Raleigh,NC,27607,https://www.cghsnc.org,mailto:JacquelynSims@cghsnc.org
960175.628625214,617600.39720948,142,Henderson,Captain Gilmer Christian School,257 Doelger Drive,Fletcher,NC,28732,https://www.captaingilmer.org,mailto:swilson@fletcheracademy.org
1475319.07733889,500575.43276906,143,Mecklenburg,Carmel Christian School,1145 Pineville-Matthews Road,Matthews,NC,28105,https://www.carmelchristian.org,mailto:gordons@carmelchristian.org
1802728.87822664,950704.883558229,144,Rockingham,Carolina Baptist Academy,116 South Franklin Street,Reidsville,NC,27323,,mailto:coachxtreme21@yahoo.com
2081136.14326139,198075.637507394,145,Columbus,Carolina Adventist Academy,3710 James B. White Highway S.,Whiteville,NC,28472,https://www.caahummingbirds.org,mailto:technical@edcaa.net
558514.334836558,508276.012512222,146,Clay,Carolina Christian Academy,259 Tusquittee St.,Hayesville,NC,28904,https://www.carolinachristianchargers.com,mailto:d.intemann@ccachargers.com
2322726.45962048,163522.925116897,147,New Hanover,Carolina Christian Academy,712 Wellington Ave,Wilmington,NC,28401,https://www.carolinachristian.academy.com,mailto:jessica@ccailm.com
1569704.10444772,549514.684955984,148,Stanly,Carolina Christian School,406 Renee Ford Road,Locust,NC,28097,https://www.carolinachristianschool.com,mailto:afink@carolinachristianschool.com
1950261.01492031,631450.503367484,149,Lee,Carolina Christian Academy,115 N. 7th Street,Sanford,NC,27330,https://www.carolinaacademy.org/,mailto:slp238@yahoo.com
1437466.26787405,743816.158228889,150,Iredell,Carolina Christian Bible College,319 S. Oak St,Statesville,NC,28677,,mailto:ccbcollege2007@gmail.com
1993155.07480131,821861.518213972,151,Orange,Carolina Friends School,4809 Friends School Road.,Durham,NC,27705,https://www.cfsnc.org,mailto:kcumberbatch@cfsnc.org
1957874.88551931,464841.915325478,152,Hoke,Carr Preparatory Academy,7110 Fayetteville Rd,Raeford,NC,28376,https://www.carrprep.com,mailto:patricecarrcarrprep@gmail.com
949890.091781631,663737.293124482,153,Buncombe,Carolina Day School,1345 Hendersonville Rd,Asheville,NC,28803,https://www.carolinaday.org,mailto:kcarr@carolinaday.org
1667400.12690306,754280.638612226,154,Davidson,Carolina Christian Academy,367 Academy Drive,Thomasville,NC,27360,https://www.cca-nc.com,mailto:christina.black@cca-nc.com
2056682.20562081,737409.017171815,155,Wake,Cary Christian School,1330 Old Apex Road,Cary,NC,27513,https://www.carychristianschool.org,mailto:rhinton@carychristianschool.org
2068202.99786788,753469.32494615,156,Wake,Cary Academy,1500 N. Harrison Ave.,Cary,NC,27513,https://www.caryacademy.org,mailto:mike_ehrhardt@caryacademy.org
1588924.36850056,843454.310330138,157,Forsyth,Cathedral Oak Academy,1840 Lewisville Clemmons Rd,Clemmons,NC,27012,https://www.cathedraloakacademy.com/,mailto:kristen@cathedraloakacademy.com
2106092.50837481,739278.569206983,158,Wake,Cathedral School,204 Hillsborough Street,Raleigh,NC,27603,https://www.cathedral-school.net,mailto:culberson@cathedral-school.net
2175297.72068588,735176.840533808,159,Wake,Central Christian Academy,11109 Poole Road,Wendell,NC,27591,https://www.ccawendell.org,mailto:jspain@centralwendell.org
