County,harvest_yield,vet_count,permit_density,final_score
Nash,0.3830594184576485,0.19825388540999023,0.2003041266844948,0.2911692122524455
Caswell,0.4798627415567997,0.11652290373365354,0.04719207173194903,0.2808601146448005
Ashe,0.46017699115044247,0.1339272322813171,0.0664359498715327,0.2801792911134337
Sampson,0.41881885497561855,0.15044604659084815,0.12007760474018145,0.2770403403205667
Alleghany,0.42134729998193965,0.22256503576020603,0.01945362068061455,0.271178314101175
Forsyth,0.23911865631208237,0.11736196874935806,0.4866026951916523,0.2705504941412938
Burke,0.3651797001986635,0.11915333044283499,0.2052855120339783,0.26369956071853506
Lincoln,0.3491060140870507,0.12385613897766229,0.19742016674532015,0.254872083474271
Robeson,0.35145385587863465,0.11432207391993043,0.19768234492160874,0.2537280326497021
Warren,0.33790861477334294,0.3067982181232471,0.0322479156834985,0.25371584083835785
Buncombe,0.29727289145746794,0.11477432298900225,0.29384929998426934,0.25079235147205187
Carteret,0.174643308650894,0.4455044340286372,0.17251323999790258,0.24182607283208196
Madison,0.37457106736499907,0.15001751279379055,0.04902731896596928,0.23704674162243947
Gates,0.26891818674372403,0.377182423462362,0.02018771957422264,0.23380162913100816
Caldwell,0.2996207332490518,0.14246902348845236,0.18090294163913798,0.2306533579064235
Richmond,0.3787249413039552,0.07988734708402823,0.08232394735462222,0.2299152942616402
Cherokee,0.2346035759436518,0.34104293656423496,0.07681820565256149,0.221767073526025
Lenoir,0.2743362831858407,0.23467169964708462,0.0998898851659588,0.22080853779618118
Pamlico,0.21256998374571068,0.43223776623306126,0.025431283099994755,0.22070225420611933
Orange,0.36319306483655406,0.022443280619092898,0.13397304808347754,0.22070061459391965
Macon,0.24453675275419903,0.2936434385137385,0.0951706779927639,0.2194719055037251
Hertford,0.3028715911143218,0.2342847026232519,0.03513187562267317,0.2187899401186422
Martin,0.3666245259165613,0.0939350066848737,0.04378375544019716,0.2177419534895484
Currituck,0.0686292216001445,0.6425054521322744,0.07367206753709822,0.2133589907174154
Wilson,0.29835651074589126,0.10059462890327747,0.15232552042367994,0.21240829270468498
Yadkin,0.3100957197038107,0.13372642934879636,0.09254889622987783,0.21161669124657392
Watauga,0.36951417735235687,0.006770838666470658,0.09281107440616644,0.2096525669443377
Haywood,0.16163987718981399,0.3119228722811281,0.15232552042367994,0.196882036771109
Henderson,0.15423514538558786,0.22095031779603536,0.2498558020030413,0.19481910264256308
Camden,0.07061585696225393,0.6161473408588278,0.019270095957212525,0.19416228768513705
Perquimans,0.14195412678345676,0.4518619844300595,0.02805306486288081,0.19095582571496347
Yancey,0.28029618927216904,0.13796613586494522,0.04037543914844528,0.18473348838943215
Davie,0.2062488712299079,0.21628399923762998,0.10513344869173091,0.18347879759729416
Polk,0.21852988983203903,0.25054674946302874,0.042735042735042736,0.18258539296553736
Vance,0.254289326350009,0.14140555709221303,0.06659325677730586,0.17914436664238423
Avery,0.2020949972909518,0.23890208360802795,0.037753657385559226,0.1702114338938727
Washington,0.20010836192884235,0.25818544442002106,0.017565937811336585,0.16899202652226059
McDowell,0.17500451508036843,0.19375269757568414,0.11037701221750303,0.16353468498848103
Durham,0.1704894347119379,0.05457593796281107,0.2501179801793299,0.1614181968915042
Alexander,0.1964962976340979,0.17413738720869137,0.07616276021183997,0.1608231856721818
Transylvania,0.09987357774968394,0.3198711625207065,0.07367206753709822,0.14832259638929315
Pasquotank,0.06537836373487449,0.3856824267246723,0.07367206753709822,0.14752780543287988
Chowan,0.10131840346758172,0.3620914379228894,0.023596035865974516,0.14708107018100683
Mitchell,0.17608813436879178,0.19461584001780302,0.034869697446384566,0.1454154515504428
Scotland,0.18945277225934623,0.1551077739660508,0.04745424990823764,0.14536689209824524
Lee,0.13328517247607008,0.1667135607938282,0.119028892035027,0.13807819944524885
Jackson,0.1285894888929023,0.21306467442649446,0.07603167112369567,0.13656883083399868
New Hanover,0.017879718258985013,0.1475439047811034,0.31212311887158517,0.12385661504266465
Hyde,0.20715188730359402,0.07463423325567009,0.0028839599391746636,0.1229554919505082
Tyrrell,0.10926494491601951,0.25211053216316887,0.0,0.11766010549880197
Greene,0.20823550659201734,0.0,0.02910177756803524,0.11139319768801748
Clay,0.12353259888026008,0.1333824293981895,0.022809501337108698,0.10081428212395459
Swain,0.0525555354885317,0.16741416600464937,0.02202296680824288,0.07363705094748892
Dare,0.0,0.21844849094613122,0.07000157306905774,0.07211251600379724
Graham,0.026548672566371685,0.16254905388652446,0.015206334224739134,0.05771318331100174
