"year","month","state","handgun_unadjusted","long_gun_unadjusted","total_unadjusted","handgun_adjusted","long_gun_adjusted","total_adjusted"
2013,"04","Idaho",3586,5083,8669,3672,5864,9536
2008,"04","Idaho",2150,3928,6079,2073,4337,6410
2001,"04","Idaho",1511,3634,5146,1490,4261,5751
2007,"04","Idaho",2028,3595,5623,1972,3988,5960
2019,"04","Idaho",4513,4792,9305,4592,5242,9834
2009,"04","Idaho",2839,4579,7418,2726,5014,7741
2016,"04","Idaho",3886,4265,8151,4062,5049,9111
2003,"04","Idaho",1251,3079,4330,1229,3481,4710
2020,"04","Idaho",10746,8328,19074,10799,8909,19708
2005,"04","Idaho",1466,3480,4947,1441,3835,5276
2014,"04","Idaho",2926,4006,6932,3043,4740,7783
2021,"04","Idaho",9718,7808,17526,9701,8171,17872
2025,"04","Idaho",5880,5352,11231,5935,5856,11792
2004,"04","Idaho",1388,3120,4508,1368,3461,4828
2023,"04","Idaho",6789,6687,13476,6757,7045,13803
2018,"04","Idaho",4457,4830,9287,4584,5448,10032
2010,"04","Idaho",2278,3544,5822,2194,3889,6082
2011,"04","Idaho",2826,4605,7430,2765,5101,7866
2009,"05","Idaho",2091,3344,5435,2260,4123,6384
2018,"05","Idaho",3952,4420,8372,4479,5369,9848
2014,"05","Idaho",2846,3905,6751,3261,5069,8330
2007,"05","Idaho",1893,3262,5155,2014,4140,6154
2021,"05","Idaho",7555,6091,13646,8233,7071,15305
2006,"05","Idaho",1597,3365,4962,1695,4260,5955
2011,"05","Idaho",2320,3743,6063,2599,4669,7268
2017,"05","Idaho",3793,4268,8061,4322,5291,9613
2001,"05","Idaho",1669,3328,4996,1717,4265,5981
2025,"05","Idaho",5848,5322,11169,6206,6070,12276
2024,"05","Idaho",6380,5662,12042,6771,6432,13204
2012,"05","Idaho",2704,3772,6476,3067,4844,7911
2015,"05","Idaho",3199,4099,7297,3663,5230,8893
2004,"05","Idaho",1216,2947,4162,1270,3646,4915
2008,"05","Idaho",3556,5202,8758,3807,6509,10315
2010,"05","Idaho",2177,3389,5566,2403,4146,6549
2023,"05","Idaho",5906,5503,11409,6298,6263,12561
2016,"05","Idaho",3629,3839,7468,4138,4838,8976
2000,"05","Idaho",1826,3306,5132,1874,4293,6166
2002,"05","Idaho",1292,2869,4161,1335,3591,4926
2005,"05","Idaho",1306,2943,4248,1375,3699,5074
2013,"05","Idaho",2845,3886,6731,3242,5082,8324
2020,"05","Idaho",9442,7924,17367,10425,9288,19713
2019,"05","Idaho",4379,4368,8747,4919,5199,10118
2003,"05","Idaho",1255,2729,3984,1303,3381,4684
2022,"05","Idaho",7096,6179,13275,7625,7087,14712
2020,"06","Idaho",12404,8694,21098,13459,10624,24083
2013,"06","Idaho",2455,3642,6097,3050,5040,8090
2025,"06","Idaho",5367,4985,10352,6012,5995,12007
2010,"06","Idaho",1966,3155,5120,2350,4138,6488
2016,"06","Idaho",4001,4768,8769,4589,6206,10795
2005,"06","Idaho",1346,2655,4002,1490,3802,5292
2017,"06","Idaho",4212,4270,8482,4690,5372,10062
2011,"06","Idaho",2225,3489,5714,2722,4639,7362
2024,"06","Idaho",5843,5496,11339,6486,6583,13069
2006,"06","Idaho",1646,3154,4799,1816,4363,6180
2007,"06","Idaho",1905,3125,5030,2114,4220,6334
2000,"06","Idaho",1843,3088,4930,2025,4367,6392
2019,"06","Idaho",4174,4188,8362,4525,5125,9650
2002,"06","Idaho",1123,2330,3453,1253,3399,4651
2009,"06","Idaho",1785,3015,4800,2067,3973,6040
2018,"06","Idaho",4234,4371,8605,4636,5364,10000
2014,"06","Idaho",2583,3650,6233,3158,5043,8201
2008,"06","Idaho",1899,3324,5223,2145,4403,6548
2023,"06","Idaho",5843,5141,10985,6413,6178,12591
2003,"06","Idaho",1120,2224,3344,1254,3289,4543
2001,"06","Idaho",1542,3155,4697,1703,4514,6217
2012,"06","Idaho",2636,3896,6532,3283,5261,8544
2015,"06","Idaho",2786,3537,6323,3292,4800,8092
2004,"06","Idaho",1106,2378,3484,1235,3492,4727
2021,"06","Idaho",6591,5729,12320,7156,7001,14157
2022,"06","Idaho",8008,6720,14728,8728,8119,16847
2022,"07","Idaho",6789,5422,12211,7976,6875,14851
2000,"07","Idaho",1785,3126,4912,2162,4426,6588
2011,"07","Idaho",2093,3069,5162,2782,4607,7389
2008,"07","Idaho",1643,2929,4573,2070,4309,6379
2017,"07","Idaho",3340,3768,7107,4127,5199,9326
2003,"07","Idaho",1072,2270,3343,1289,3336,4624
2010,"07","Idaho",1902,2862,4764,2488,4219,6707
2024,"07","Idaho",5552,5260,10812,6560,6731,13291
2007,"07","Idaho",1649,2907,4556,2041,4335,6376
2013,"07","Idaho",2325,3322,5647,3100,5070,8169
2002,"07","Idaho",1013,2354,3367,1221,3404,4625
2023,"07","Idaho",4980,4623,9603,5854,5924,11778
2019,"07","Idaho",4051,3872,7923,4837,5125,9962
2015,"07","Idaho",3005,3609,6614,3886,5169,9055
2020,"07","Idaho",10121,7398,17519,11964,9463,21427
2004,"07","Idaho",1245,2615,3860,1493,3891,5385
2001,"07","Idaho",1396,3077,4473,1688,4395,6083
2006,"07","Idaho",1488,2793,4281,1814,4208,6022
2025,"07","Idaho",5506,4752,10258,6507,6081,12588
2018,"07","Idaho",3704,3658,7361,4501,4968,9469
2016,"07","Idaho",4174,4157,8331,5285,5789,11074
2005,"07","Idaho",1316,2576,3892,1586,3873,5459
2014,"07","Idaho",2312,3251,5563,3044,4833,7878
2021,"07","Idaho",6533,5704,12236,7651,7227,14877
2012,"07","Idaho",2438,3450,5887,3259,5268,8527
2009,"07","Idaho",1669,2697,4366,2144,3942,6086
2000,"08","Idaho",1865,4374,6238,1894,4259,6153
2016,"08","Idaho",3719,4841,8560,4292,5400,9692
2005,"08","Idaho",1537,3659,5195,1618,3829,5447
2018,"08","Idaho",3915,4492,8407,4422,5030,9452
2002,"08","Idaho",1444,3743,5188,1481,3670,5150
2023,"08","Idaho",5254,5420,10673,5933,5874,11806
2010,"08","Idaho",2074,3708,5782,2400,4161,6561
2022,"08","Idaho",6647,6102,12749,7487,6582,14070
2012,"08","Idaho",3022,4729,7751,3498,5318,8817
2017,"08","Idaho",3763,4588,8351,4311,5158,9468
2009,"08","Idaho",1773,3535,5309,2032,3862,5894
2020,"08","Idaho",9056,7902,16959,10108,8521,18629
2004,"08","Idaho",1235,3271,4507,1285,3351,4635
2025,"08","Idaho",5856,5825,11681,6581,6207,12788
2014,"08","Idaho",2708,4545,7253,3137,4949,8086
2003,"08","Idaho",1252,3463,4715,1291,3446,4737
2001,"08","Idaho",1627,4631,6258,1659,4507,6165
2019,"08","Idaho",4720,5342,10062,5290,5855,11144
2006,"08","Idaho",1719,4006,5726,1841,4252,6093
2011,"08","Idaho",2409,4014,6423,2796,4538,7335
2013,"08","Idaho",2910,4821,7731,3371,5290,8661
2024,"08","Idaho",5886,6235,12121,6631,6726,13357
2008,"08","Idaho",1975,3955,5929,2213,4246,6459
2021,"08","Idaho",7007,7149,14156,7857,7643,15499
2007,"08","Idaho",1889,4302,6191,2068,4569,6637
2015,"08","Idaho",3186,4770,7955,3699,5214,8913
2002,"09","Idaho",1319,4651,5970,1242,3266,4508
2006,"09","Idaho",1998,5851,7849,2007,4589,6596
2014,"09","Idaho",2795,5643,8438,3304,5100,8404
2020,"09","Idaho",8447,8589,17036,9860,8209,18069
2015,"09","Idaho",3246,5746,8992,3850,5156,9006
2016,"09","Idaho",3669,5985,9654,4354,5380,9735
2003,"09","Idaho",1366,4807,6173,1295,3443,4737
2023,"09","Idaho",5280,6322,11602,6000,6093,12093
2010,"09","Idaho",2219,4566,6785,2508,4244,6752
2013,"09","Idaho",2523,5244,7767,2953,4847,7800
2000,"09","Idaho",1901,6772,8672,1781,4646,6427
2009,"09","Idaho",1751,4155,5906,1928,3772,5700
2025,"09","Idaho",6162,6356,12518,6907,6170,13078
2021,"09","Idaho",6745,7889,14634,7806,7518,15324
2024,"09","Idaho",5783,6460,12243,6517,6280,12797
2007,"09","Idaho",1987,5462,7448,2059,4513,6572
2011,"09","Idaho",2586,4732,7318,2974,4461,7435
2004,"09","Idaho",1365,5047,6412,1308,3707,5016
2022,"09","Idaho",6494,6773,13267,7459,6482,13941
2008,"09","Idaho",1824,4643,6467,1949,4048,5997
2001,"09","Idaho",2021,6582,8603,1899,4544,6443
2018,"09","Idaho",3771,5486,9256,4481,5095,9576
2005,"09","Idaho",1685,5184,6870,1647,3911,5558
2012,"09","Idaho",2869,5387,8256,3330,5056,8386
2017,"09","Idaho",3589,5991,9580,4264,5452,9716
2019,"09","Idaho",4261,5506,9767,5018,5207,10226
2005,"10","Idaho",1459,5274,6733,1610,4089,5699
2008,"10","Idaho",2025,5189,7214,2323,4334,6657
2010,"10","Idaho",2114,4771,6885,2449,4108,6557
2013,"10","Idaho",2588,5591,8180,2982,4765,7747
2021,"10","Idaho",7343,8118,15461,8144,7185,15328
2007,"10","Idaho",1718,5332,7050,1948,4360,6308
2011,"10","Idaho",2417,5152,7569,2789,4482,7271
2019,"10","Idaho",4430,6350,10780,5072,5522,10593
2006,"10","Idaho",1763,5666,7429,1974,4501,6475
2014,"10","Idaho",2779,5955,8734,3190,4975,8165
2017,"10","Idaho",3885,6313,10198,4504,5367,9871
2001,"10","Idaho",1769,6251,8020,1938,4633,6572
2022,"10","Idaho",6197,6927,13124,6727,6151,12879
2024,"10","Idaho",6212,7531,13742,6596,6615,13211
2020,"10","Idaho",8568,9353,17921,9670,8237,17908
2012,"10","Idaho",2626,5845,8471,3028,5055,8084
2016,"10","Idaho",4533,6595,11128,5236,5517,10754
2025,"10","Idaho",6331,6948,13278,6681,6089,12770
2000,"10","Idaho",1580,6047,7626,1736,4452,6188
2009,"10","Idaho",1850,4494,6344,2140,3818,5957
2018,"10","Idaho",3551,5741,9292,4096,4952,9048
2002,"10","Idaho",1111,4514,5625,1212,3377,4590
2015,"10","Idaho",3361,6289,9649,3857,5228,9085
2003,"10","Idaho",1213,4486,5699,1319,3392,4712
2004,"10","Idaho",1246,4862,6108,1360,3708,5067
2023,"10","Idaho",5872,7216,13088,6302,6356,12657
2005,"11","Idaho",1429,4196,5625,1636,4033,5668
2000,"11","Idaho",1629,4613,6243,1818,4458,6276
2011,"11","Idaho",2642,5137,7779,2842,4491,7333
2001,"11","Idaho",1402,4208,5610,1572,4067,5638
2024,"11","Idaho",7717,8667,16383,6564,6700,13263
2003,"11","Idaho",1176,3555,4731,1339,3449,4788
2023,"11","Idaho",7660,8282,15942,6551,6427,12979
2025,"11","Idaho",7599,7713,15312,6447,5992,12439
2012,"11","Idaho",3981,7589,11570,4164,6411,10575
2009,"11","Idaho",1815,4135,5950,2042,3822,5864
2013,"11","Idaho",2943,6014,8956,2979,4946,7925
2004,"11","Idaho",1138,3772,4910,1301,3657,4959
2002,"11","Idaho",1063,3538,4600,1199,3423,4622
2014,"11","Idaho",3051,5694,8745,2969,4622,7591
2020,"11","Idaho",10451,10920,21371,9279,8511,17790
2008,"11","Idaho",3607,6617,10223,4096,6183,10279
2015,"11","Idaho",4178,5958,10135,3938,4744,8682
2017,"11","Idaho",5314,7172,12486,4814,5538,10352
2019,"11","Idaho",5726,6714,12440,5109,5228,10336
2016,"11","Idaho",5437,7048,12485,5010,5491,10500
2007,"11","Idaho",1784,5135,6919,2036,4814,6850
2006,"11","Idaho",1661,4707,6368,1896,4470,6366
2018,"11","Idaho",4764,6716,11480,4265,5183,9448
2021,"11","Idaho",8753,9004,17756,7671,7055,14726
2010,"11","Idaho",1971,4137,6108,2171,3759,5930
2022,"11","Idaho",7908,7680,15588,6825,5994,12819
2021,"12","Idaho",10695,9745,20440,7492,6946,14438
2024,"12","Idaho",9132,9331,18464,6469,6462,12931
2000,"12","Idaho",2097,6180,8276,1680,4011,5691
2009,"12","Idaho",2473,5811,8284,1798,3637,5435
2006,"12","Idaho",2387,7455,9842,1807,4478,6286
2003,"12","Idaho",1701,5545,7246,1333,3487,4820
2017,"12","Idaho",6790,8420,15211,4609,5489,10098
2015,"12","Idaho",8029,8898,16927,5333,5534,10866
2018,"12","Idaho",6540,7950,14489,4504,5305,9809
2007,"12","Idaho",2737,7376,10112,2051,4478,6529
2010,"12","Idaho",3053,6424,9477,2175,3960,6135
2002,"12","Idaho",1599,5228,6828,1264,3356,4620
2019,"12","Idaho",7780,8183,15963,5412,5599,11011
2008,"12","Idaho",3674,6641,10315,2716,4109,6825
2005,"12","Idaho",2133,6927,9060,1637,4182,5819
2001,"12","Idaho",1630,5425,7055,1302,3513,4814
2004,"12","Idaho",1750,6004,7754,1357,3692,5049
2020,"12","Idaho",10813,11029,21842,7557,7758,15315
2011,"12","Idaho",4120,7753,11872,2877,4650,7527
2023,"12","Idaho",9033,9054,18087,6365,6331,12696
2022,"12","Idaho",10024,8767,18791,7048,6217,13265
2025,"12","Idaho",8957,9051,18008,6372,6251,12622
2016,"12","Idaho",6249,8012,14262,4182,5116,9299
2013,"12","Idaho",4265,7814,12079,2856,4633,7489
2012,"12","Idaho",7614,11420,19034,5194,6729,11923
2014,"12","Idaho",4912,7830,12741,3258,4747,8005
2011,"01","Illinois",12087,11381,23467,11435,11775,23211
2020,"01","Illinois",25858,11581,37438,26286,12625,38911
2012,"01","Illinois",15434,13407,28841,14616,13928,28544
2003,"01","Illinois",5557,7933,13490,5181,8672,13853
2007,"01","Illinois",6013,8165,14178,5663,8669,14332
2002,"01","Illinois",5587,8295,13882,5212,9103,14314
2026,"01","Illinois",25669,12387,38056,25145,13224,38369
2006,"01","Illinois",6222,9478,15699,5836,10170,16006
2023,"01","Illinois",31207,15554,46761,31422,17015,48436
2013,"01","Illinois",36024,26072,62096,34271,27276,61547
2018,"01","Illinois",24847,11679,36526,24868,12530,37398
2004,"01","Illinois",6014,8802,14816,5617,9601,15217
2001,"01","Illinois",5612,7359,12971,5236,8071,13307
2024,"01","Illinois",26067,11329,37396,25945,12299,38244
2010,"01","Illinois",10189,10744,20933,9651,11108,20760
2016,"01","Illinois",36218,15050,51268,35481,16055,51535
2025,"01","Illinois",25897,11427,37324,25500,12275,37775
2017,"01","Illinois",27897,13147,41044,27644,14046,41689
2005,"01","Illinois",5863,8426,14289,5481,9113,14594
2009,"01","Illinois",10397,10918,21315,9858,11378,21237
2015,"01","Illinois",23650,14323,37973,22891,15184,38075
2014,"01","Illinois",23043,13171,36214,22039,13838,35877
2000,"01","Illinois",7024,7963,14986,6562,8743,15305
2019,"01","Illinois",24710,12055,36765,24994,13031,38025
2022,"01","Illinois",24820,10945,35765,25162,12000,37161
2008,"01","Illinois",7384,8778,16162,6991,9233,16223
2021,"01","Illinois",41797,21963,63759,42490,23992,66481
2022,"02","Illinois",26176,11838,38014,24409,11927,36336
2007,"02","Illinois",6668,8513,15181,5643,8517,14160
2011,"02","Illinois",13501,12549,26050,11426,11843,23269
2017,"02","Illinois",31262,15001,46263,27339,13982,41321
2026,"02","Illinois",26234,11649,37883,24290,12160,36450
2003,"02","Illinois",6513,9014,15528,5390,9169,14559
2001,"02","Illinois",6258,7885,14143,5224,8144,13369
2005,"02","Illinois",6769,9209,15979,5631,9270,14902
2024,"02","Illinois",33162,13236,46398,30952,13700,44652
2004,"02","Illinois",6225,9248,15473,5147,9342,14489
2010,"02","Illinois",11668,11879,23547,9950,11405,21355
2012,"02","Illinois",20511,16684,37194,17316,15585,32901
2019,"02","Illinois",28560,13723,42283,25601,12982,38583
2018,"02","Illinois",29556,15599,45155,26118,14612,40730
2000,"02","Illinois",7373,8062,15435,6169,8359,14529
2021,"02","Illinois",28171,13924,42095,26012,13706,39717
2009,"02","Illinois",10968,11381,22349,9369,11109,20478
2016,"02","Illinois",34404,16036,50439,29780,14942,44722
2015,"02","Illinois",27091,15832,42923,23242,14766,38008
2025,"02","Illinois",27302,11176,38478,25367,11633,37000
2006,"02","Illinois",7005,9288,16293,5880,9337,15217
2020,"02","Illinois",26022,11741,37763,23667,11301,34969
2002,"02","Illinois",5839,8647,14486,4847,8864,13711
2013,"02","Illinois",27964,21597,49562,23623,20103,43727
2014,"02","Illinois",26882,15883,42765,22863,14820,37683
2008,"02","Illinois",8455,9254,17709,7213,9174,16387
2023,"02","Illinois",30093,11998,42090,28174,12295,40469
2009,"03","Illinois",12973,13862,26836,9757,11770,21527
2021,"03","Illinois",41520,19976,61496,30926,15804,46731
2008,"03","Illinois",9646,10943,20589,7320,9380,16700
2024,"03","Illinois",33988,13267,47255,26102,11035,37137
2010,"03","Illinois",13306,13276,26582,9981,11220,21201
2014,"03","Illinois",30428,17828,48256,23722,15103,38824
2017,"03","Illinois",34898,17180,52077,26544,14054,40598
2013,"03","Illinois",27357,22721,50078,21069,19280,40349
2006,"03","Illinois",7306,10440,17746,5657,9209,14865
2019,"03","Illinois",33814,15890,49704,25191,12654,37845
2005,"03","Illinois",7527,10366,17894,5881,9294,15175
2025,"03","Illinois",31869,13346,45216,24624,11287,35911
2012,"03","Illinois",20350,16666,37016,15505,14121,29626
2004,"03","Illinois",6589,10118,16707,5182,9194,14376
2000,"03","Illinois",7481,8576,16057,6074,8177,14252
2011,"03","Illinois",16941,14392,31334,12760,12156,24917
2020,"03","Illinois",51172,21488,72660,38007,16992,54998
2001,"03","Illinois",6323,8786,15108,5115,8334,13449
2022,"03","Illinois",33014,15533,48547,24868,12427,37295
2002,"03","Illinois",6369,9230,15599,5103,8640,13742
2015,"03","Illinois",20018,12111,32129,15596,10168,25764
2016,"03","Illinois",33037,15348,48386,25540,12738,38278
2023,"03","Illinois",37662,15436,53098,28681,12584,41265
2003,"03","Illinois",6534,9999,16533,5184,9234,14418
2007,"03","Illinois",7567,9748,17315,5804,8474,14278
2018,"03","Illinois",37046,20196,57242,27894,16296,44190
2019,"04","Illinois",24307,10492,34798,23297,11950,35247
2001,"04","Illinois",4840,6559,11399,4903,8134,13037
2021,"04","Illinois",34863,15546,50410,32936,17708,50644
2014,"04","Illinois",24043,13265,37308,23504,14914,38417
2023,"04","Illinois",29902,12547,42449,28209,14315,42523
2012,"04","Illinois",16730,13400,30130,16216,15124,31340
2016,"04","Illinois",28340,13202,41543,27691,14881,42572
2022,"04","Illinois",26470,11603,38073,24929,13237,38166
2020,"04","Illinois",34960,13713,48673,33201,15629,48830
2006,"04","Illinois",5127,7085,12212,5136,8662,13798
2010,"04","Illinois",9922,9315,19237,9656,10777,20434
2018,"04","Illinois",27356,12953,40308,26464,14756,41220
2000,"04","Illinois",6086,6729,12815,6164,8356,14519
2017,"04","Illinois",28885,12387,41272,28097,14007,42104
2004,"04","Illinois",5023,7448,12471,5085,9157,14241
2024,"04","Illinois",27678,10148,37826,26261,11635,37896
2011,"04","Illinois",13182,10981,24164,12813,12517,25330
2008,"04","Illinois",7187,7642,14829,7094,9155,16249
2009,"04","Illinois",11236,11101,22338,11008,13088,24096
2013,"04","Illinois",21250,17313,38563,20664,19451,40115
2015,"04","Illinois",21760,11635,33395,21309,13073,34382
2003,"04","Illinois",5096,7491,12587,5175,9232,14408
2005,"04","Illinois",5357,7244,12600,5398,8887,14284
2007,"04","Illinois",6380,7086,13466,6363,8601,14964
2025,"04","Illinois",25907,10132,36039,24779,11737,36516
2002,"04","Illinois",5229,7509,12738,5310,9287,14597
2011,"05","Illinois",11200,9475,20676,12504,12799,25303
2005,"05","Illinois",4672,5723,10395,5166,8555,13721
2017,"05","Illinois",25320,11029,36348,28857,14758,43615
2018,"05","Illinois",21202,9945,31148,24291,13228,37519
2014,"05","Illinois",20348,10954,31302,23045,14783,37828
2016,"05","Illinois",21848,10212,32061,24688,13688,38376
2015,"05","Illinois",22110,10988,33098,25025,14825,39850
2022,"05","Illinois",21852,9503,31354,24982,12664,37646
2007,"05","Illinois",5864,5995,11859,6370,8622,14992
2009,"05","Illinois",8648,8723,17371,9387,11981,21368
2025,"05","Illinois",23082,8503,31585,26095,11809,37904
2006,"05","Illinois",5338,6354,11692,5848,9341,15189
2021,"05","Illinois",29141,12251,41392,33605,16239,49844
2010,"05","Illinois",9478,8121,17599,10422,11009,21430
2012,"05","Illinois",13803,11416,25219,15557,15390,30947
2003,"05","Illinois",4606,6172,10778,5157,9346,14502
2020,"05","Illinois",30756,12172,42928,35426,16048,51474
2000,"05","Illinois",5246,5794,11040,5874,8723,14597
2004,"05","Illinois",4550,5955,10505,5070,8991,14061
2024,"05","Illinois",22836,8379,31215,25813,11462,37276
2013,"05","Illinois",18479,13473,31952,20948,18206,39154
2001,"05","Illinois",4530,5435,9965,5071,8187,13258
2023,"05","Illinois",26186,12115,38301,29786,16384,46170
2008,"05","Illinois",7220,7293,14513,7804,10224,18029
2002,"05","Illinois",4499,5796,10295,5037,8762,13799
2019,"05","Illinois",20572,9144,29716,23733,12139,35871
2007,"06","Illinois",5400,5799,11199,6501,8909,15410
2023,"06","Illinois",21339,8704,30043,25343,11746,37089
2011,"06","Illinois",10432,8577,19009,12566,12548,25113
2020,"06","Illinois",56323,18716,75040,65912,24764,90676
2000,"06","Illinois",4811,5240,10052,5915,8559,14474
2006,"06","Illinois",4805,5731,10536,5860,8995,14854
2013,"06","Illinois",17259,11906,29165,21161,17508,38669
2010,"06","Illinois",9031,7802,16833,10771,11414,22185
2025,"06","Illinois",21077,8678,29755,25245,11875,37120
2009,"06","Illinois",8014,8286,16300,9532,12241,21773
2024,"06","Illinois",22191,8935,31127,26530,12166,38696
2002,"06","Illinois",3950,5173,9123,4908,8433,13341
2017,"06","Illinois",24402,11309,35712,28970,15482,44452
2015,"06","Illinois",20074,9694,29768,24365,13855,38220
2008,"06","Illinois",6040,6040,12080,7198,9062,16261
2012,"06","Illinois",13644,11768,25412,16600,17280,33881
2019,"06","Illinois",19587,8895,28481,22879,11800,34679
2001,"06","Illinois",4309,5424,9733,5319,8860,14179
2022,"06","Illinois",24103,11252,35355,28478,15046,43524
2003,"06","Illinois",3929,5573,9502,4912,9088,14000
2014,"06","Illinois",17574,10241,27815,21488,14898,36386
2005,"06","Illinois",4354,5562,9915,5393,8920,14313
2016,"06","Illinois",25485,15046,40531,30604,21040,51644
2021,"06","Illinois",27904,11608,39512,32798,15430,48228
2018,"06","Illinois",20215,9294,29509,23723,12464,36187
2004,"06","Illinois",4077,5638,9714,5088,9127,14215
2001,"07","Illinois",3889,5806,9694,4774,8582,13356
2017,"07","Illinois",21100,11726,32826,25648,15258,40906
2009,"07","Illinois",7794,7784,15577,9384,11212,20596
2021,"07","Illinois",42787,17298,60084,50615,21946,72560
2025,"07","Illinois",21146,8940,30086,24992,11557,36549
2018,"07","Illinois",19270,9263,28533,23459,12022,35481
2016,"07","Illinois",24532,14038,38570,29647,18331,47978
2004,"07","Illinois",4297,6437,10734,5305,9442,14746
2013,"07","Illinois",18361,12198,30559,22276,16954,39230
2002,"07","Illinois",4149,6068,10217,5115,8953,14068
2006,"07","Illinois",4927,6524,11451,6006,9521,15527
2005,"07","Illinois",4341,5774,10114,5322,8426,13747
2023,"07","Illinois",21325,9101,30426,24993,11523,36516
2008,"07","Illinois",6313,6706,13018,7597,9698,17295
2022,"07","Illinois",22834,10827,33661,26854,13696,40550
2000,"07","Illinois",4706,5689,10395,5768,8428,14196
2014,"07","Illinois",18134,11323,29457,21864,15328,37191
2010,"07","Illinois",9282,8190,17471,11220,11825,23045
2007,"07","Illinois",5098,5990,11088,6149,8676,14825
2012,"07","Illinois",13192,11382,24574,16053,16166,32219
2015,"07","Illinois",21088,10940,32028,25374,14462,39836
2020,"07","Illinois",36534,14971,51505,43780,19172,62952
2003,"07","Illinois",3892,6157,10048,4793,9041,13835
2011,"07","Illinois",10249,8691,18940,12444,12475,24919
2019,"07","Illinois",18163,8381,26544,21958,10802,32761
2024,"07","Illinois",22716,9792,32508,26753,12552,39305
2010,"08","Illinois",9890,10263,20153,11284,11028,22313
2014,"08","Illinois",18973,14198,33170,22011,15442,37452
2009,"08","Illinois",8094,10610,18703,9234,11334,20568
2025,"08","Illinois",21583,11051,32634,24413,11609,36022
2007,"08","Illinois",6080,9417,15497,6967,9866,16833
2001,"08","Illinois",4511,8814,13325,5088,8850,13938
2005,"08","Illinois",4518,8774,13291,5214,9009,14223
2022,"08","Illinois",23406,12005,35411,25739,12439,38177
2011,"08","Illinois",11507,12354,23861,13130,13343,26473
2006,"08","Illinois",5402,8938,14340,6221,9256,15477
2018,"08","Illinois",20523,11575,32098,22941,12231,35173
2021,"08","Illinois",29679,14223,43902,32371,14709,47080
2004,"08","Illinois",4599,9077,13676,5313,9255,14568
2020,"08","Illinois",33354,16267,49621,36352,16853,53204
2016,"08","Illinois",68979,35822,104800,79820,38738,118558
2024,"08","Illinois",24162,12264,36425,27193,12845,40038
2019,"08","Illinois",21884,11078,32963,24066,11564,35630
2002,"08","Illinois",4290,8784,13074,4883,8859,13742
2003,"08","Illinois",4252,8786,13037,4878,8904,13782
2013,"08","Illinois",18755,14989,33744,21610,16268,37878
2000,"08","Illinois",4958,8679,13637,5571,8687,14258
2017,"08","Illinois",22645,13323,35968,25836,14267,40103
2023,"08","Illinois",22265,11384,33649,24795,11855,36650
2012,"08","Illinois",14999,16180,31178,17190,17533,34724
2015,"08","Illinois",20604,12901,33505,23962,14019,37981
2008,"08","Illinois",6378,8994,15371,7299,9520,16819
2004,"09","Illinois",4385,9182,13566,4914,9193,14107
2021,"09","Illinois",24707,12723,37430,28402,13264,41666
2003,"09","Illinois",4799,9139,13938,5343,8975,14318
2002,"09","Illinois",4010,8508,12518,4425,8187,12612
2006,"09","Illinois",5397,9259,14655,6202,9519,15721
2000,"09","Illinois",4806,9332,14138,5259,8761,14020
2009,"09","Illinois",7872,10845,18716,9250,11457,20707
2018,"09","Illinois",19215,11123,30338,22909,12015,34924
2007,"09","Illinois",5396,8643,14038,6264,8968,15232
2015,"09","Illinois",20039,14805,34844,24548,16404,40952
2016,"09","Illinois",23178,13914,37092,28308,15446,43754
2019,"09","Illinois",20383,11443,31826,23864,12139,36003
2023,"09","Illinois",21642,11393,33035,24940,11883,36823
2022,"09","Illinois",23949,11556,35505,27589,12055,39644
2001,"09","Illinois",6151,10091,16243,6761,9553,16314
2005,"09","Illinois",4990,8620,13609,5670,8767,14437
2013,"09","Illinois",16379,14963,31342,19760,16198,35958
2017,"09","Illinois",21014,12117,33131,25388,13325,38712
2012,"09","Illinois",13815,14848,28663,16506,15948,32454
2025,"09","Illinois",22185,11799,33983,25561,12157,37718
2024,"09","Illinois",22688,12339,35026,26185,12811,38996
2014,"09","Illinois",18569,14313,32882,22635,15668,38302
2011,"09","Illinois",11573,12463,24036,13745,13334,27080
2008,"09","Illinois",6189,9290,15478,7220,9724,16943
2010,"09","Illinois",9827,10538,20365,11624,11217,22841
2020,"09","Illinois",32064,16887,48951,37115,17685,54800
2001,"10","Illinois",7389,12784,20173,7271,10224,17496
2011,"10","Illinois",12032,13866,25897,13135,13114,26249
2016,"10","Illinois",38584,17412,55996,42948,16434,59382
2018,"10","Illinois",20561,12684,33245,22920,11994,34914
2007,"10","Illinois",6364,10838,17202,6427,9374,15801
2005,"10","Illinois",5317,10545,15862,5328,8849,14178
2024,"10","Illinois",25554,14672,40226,26347,12848,39195
2000,"10","Illinois",5259,10803,16062,5164,8586,13750
2025,"10","Illinois",26191,13911,40102,26817,12072,38889
2009,"10","Illinois",9645,12998,22642,10085,11812,21897
2019,"10","Illinois",20199,12013,32212,22345,11330,33676
2004,"10","Illinois",5244,11468,16711,5237,9515,14752
2021,"10","Illinois",26589,13613,40202,28541,12528,41069
2023,"10","Illinois",26272,14258,40531,27357,12655,40011
2014,"10","Illinois",20576,16281,36857,22755,15379,38134
2015,"10","Illinois",21990,14351,36341,24298,13517,37815
2012,"10","Illinois",15220,17322,32541,16827,16489,33316
2020,"10","Illinois",32909,18200,51108,35978,17026,53005
